form	lemma	POS	morph
AV	à_le	PRE.DETdef	NOMB.=s|GENRE=m
LECTEVR	lecteur	NOMcom	NOMB.=s|GENRE=m
.	.	PONfrt	MORPH=empty
CE	ce	PROdem	NOMB.=s|GENRE=n
n’	ne	ADVneg	MORPH=empty
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
iamais	jamais	ADVgen	MORPH=empty
eſté	être	VERppe	NOMB.=s|GENRE=m
mon	mon	DETpos	PERS.=1|NOMB.=s|GENRE=f
intention	intention	NOMcom	NOMB.=s|GENRE=f
de	de	PRE	MORPH=empty
faire	faire	VERinf	MORPH=empty
imprimer	imprimer	VERinf	MORPH=empty
cecy	ceci	PROdem	NOMB.=s|GENRE=n
:	:	PONfbl	MORPH=empty
car	car	CONcoo	MORPH=empty
il	il	PROimp	PERS.=3|NOMB.=s|GENRE=x|CAS=n
n’	ne	ADVneg	MORPH=empty
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
couru	courir	VERppe	NOMB.=s|GENRE=m
&	et	CONcoo	MORPH=empty
ne	ne	ADVneg	MORPH=empty
court	courir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
encore	encore	ADVgen	MORPH=empty
que	que	ADVgen	MORPH=empty
trop	trop	ADVgen	MORPH=empty
de	de	PRE	MORPH=empty
telles	tel	DETind	NOMB.=p|GENRE=f
fadaiſes	fadaise	NOMcom	NOMB.=p|GENRE=f
.	.	PONfrt	MORPH=empty
Que	que	CONsub	MORPH=empty
ce	ce	PROdem	NOMB.=s|GENRE=n
ne	ne	ADVneg	MORPH=empty
l'	il	PROper	PERS.=3|NOMB.=s|GENRE=x|CAS=r
ait	avoir	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s
point	point	ADVneg	MORPH=empty
eſté	être	VERppe	NOMB.=s|GENRE=m
,	,	PONfbl	MORPH=empty
le	le	DETdef	NOMB.=s|GENRE=m
long	long	ADJqua	NOMB.=s|GENRE=m
temps	temps	NOMcom	NOMB.=s|GENRE=m
qu’	que	PROrel	MORPH=empty
il	il	PROimp	PERS.=3|NOMB.=s|GENRE=x|CAS=n
y	y	PROadv	MORPH=empty
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
que	que	CONsub	MORPH=empty
la	le	DETdef	NOMB.=s|GENRE=f
pluſpart	plupart	NOMcom	NOMB.=s|GENRE=f
en	en	PROadv	MORPH=empty
eſt	être	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
oubliee	oublier	VERppe	NOMB.=s|GENRE=f
au	à_le	PRE.DETdef	NOMB.=s|GENRE=m
fonds	fond	NOMcom	NOMB.=s|GENRE=m
d’	de	PRE	MORPH=empty
vn	un	DETndf	NOMB.=s|GENRE=m
coffre	coffre	NOMcom	NOMB.=s|GENRE=m
,	,	PONfbl	MORPH=empty
le	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
peut	pouvoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
aſſez	assez	ADVgen	MORPH=empty
