form	lemma	POS	morph
Uerbi	@latin	OUT	MORPH=empty
certa	@latin	OUT	MORPH=empty
fides	@latin	OUT	MORPH=empty
,	,	PONfbl	MORPH=empty
ut	@latin	OUT	MORPH=empty
mũdo	@latin	OUT	MORPH=empty
augustior	@latin	OUT	MORPH=empty
esset	@latin	OUT	MORPH=empty
principe	@latin	OUT	MORPH=empty
francisco	@latin	OUT	MORPH=empty
nobiltata	@latin	OUT	MORPH=empty
fuit	@latin	OUT	MORPH=empty
.	.	PONfrt	MORPH=empty
Tres	très	ADVgen	MORPH=empty
puissant	puissant	ADJqua	NOMB.=s|GENRE=m
,	,	PONfbl	MORPH=empty
tres	très	ADVgen	MORPH=empty
victorieux	victorieux	ADJqua	NOMB.=s|GENRE=m
tres	très	ADVgen	MORPH=empty
eminent	éminent	ADJqua	NOMB.=s|GENRE=m
prince	prince	NOMcom	NOMB.=s|GENRE=m
,	,	PONfbl	MORPH=empty
francoys	François	NOMpro	NOMB.=s|GENRE=m
le	le	DETdef	NOMB.=s|GENRE=m
roy	roi	NOMcom	NOMB.=s|GENRE=m
tres	très	ADVgen	MORPH=empty
crestien	chrétien	ADJqua	NOMB.=s|GENRE=m
de	de	PRE	MORPH=empty
france	France	NOMpro	NOMB.=s|GENRE=f
premier	premier	ADJord	NOMB.=s|GENRE=m
de	de	PRE	MORPH=empty
ce	ce	DETdem	NOMB.=s|GENRE=m
nom	nom	NOMcom	NOMB.=s|GENRE=m
.	.	PONfrt	MORPH=empty
duc	duc	NOMcom	NOMB.=s|GENRE=m
de	de	PRE	MORPH=empty
milan	Milan	NOMpro	NOMB.=s|GENRE=x
,	,	PONfbl	MORPH=empty
seigneur	seigneur	NOMcom	NOMB.=s|GENRE=m
de	de	PRE	MORPH=empty
gennes	Gênes	NOMpro	NOMB.=s|GENRE=x
.	.	PONfrt	MORPH=empty
Guillaume	Guillaume	NOMpro	NOMB.=s|GENRE=m
bude	Budé	NOMpro	NOMB.=s|GENRE=x
son	son	DETpos	PERS.=3|NOMB.=s|GENRE=m
tres	très	ADVgen	MORPH=empty
humble	humble	ADJqua	NOMB.=s|GENRE=m
et	et	CONcoo	MORPH=empty
tres	très	ADVgen	MORPH=empty
obeissant	obéir	VERppa	NOMB.=s|GENRE=m
subiect	sujet	NOMcom	NOMB.=s|GENRE=m
et	et	CONcoo	MORPH=empty
secretaire	secrétaire	NOMcom	NOMB.=s|GENRE=m
.	.	PONfrt	MORPH=empty
Accroissement	accroissement	NOMcom	NOMB.=s|GENRE=m
d	de	PRE	MORPH=empty
honneur	honneur	NOMcom	NOMB.=s|GENRE=m
et	et	CONcoo	MORPH=empty
de	de	PRE	MORPH=empty
maieste	majesté	NOMcom	NOMB.=s|GENRE=f
,	,	PONfbl	MORPH=empty
augmentation	augmentation	NOMcom	NOMB.=s|GENRE=f
de	de	PRE	MORPH=empty
toutes	tout	DETind	NOMB.=p|GENRE=f
vertuz	vertu	NOMcom	NOMB.=p|GENRE=f
royalles	royal	ADJqua	NOMB.=p|GENRE=f
en	en	PRE	MORPH=empty
longue	long	ADJqua	NOMB.=s|GENRE=f
vie	vie	NOMcom	NOMB.=s|GENRE=f
et	et	CONcoo	MORPH=empty
grande	grand	ADJqua	NOMB.=s|GENRE=f
sante	santé	NOMcom	NOMB.=s|GENRE=f
.	.	PONfrt	MORPH=empty
illustration	illustration	NOMcom	NOMB.=s|GENRE=f
de	de	PRE	MORPH=empty
son	son	DETpos	PERS.=3|NOMB.=s|GENRE=m
nom	nom	NOMcom	NOMB.=s|GENRE=m
et	et	CONcoo	MORPH=empty
armes	arme	NOMcom	NOMB.=p|GENRE=f
de	de	PRE	MORPH=empty
france	France	NOMpro	NOMB.=s|GENRE=f
en	en	PRE	MORPH=empty
toute	tout	DETind	NOMB.=s|GENRE=f
prosperite	prospérité	NOMcom	NOMB.=s|GENRE=f
Sire	sire	NOMcom	NOMB.=s|GENRE=m
il	il	PROper	PERS.=0|NOMB.=s|GENRE=n|CAS=n
est	être	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
escript	écrire	VERppe	NOMB.=s|GENRE=n
ou	en_le	PRE.DETdef	NOMB.=s|GENRE=m
dixhuitiesme	dix-huitième	ADJord	NOMB.=s|GENRE=m
chapitre	chapitre	NOMcom	NOMB.=s|GENRE=m
des	de_le	PRE.DETdef	NOMB.=p|GENRE=m
prouerbes	proverbe	NOMcom	NOMB.=p|GENRE=m
de	de	PRE	MORPH=empty
salomõ	Salomon	NOMpro	NOMB.=s|GENRE=m
Donum	@latin	OUT	MORPH=empty
hommis	@latin	OUT	MORPH=empty
dilatat	@latin	OUT	MORPH=empty
viam	@latin	OUT	MORPH=empty
eius	@latin	OUT	MORPH=empty
et	@latin	OUT	MORPH=empty
ante	@latin	OUT	MORPH=empty
principes	@latin	OUT	MORPH=empty
spacium	@latin	OUT	MORPH=empty
ei	@latin	OUT	MORPH=empty
facit	@latin	OUT	MORPH=empty
,	,	PONfbl	MORPH=empty
C	ce	PROdem	NOMB.=s|GENRE=n
est	être	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
a	à	PRE	MORPH=empty
dire	dire	VERinf	MORPH=empty
le	le	DETdef	NOMB.=s|GENRE=m
don	don	NOMcom	NOMB.=s|GENRE=m
presente	présenter	VERppe	NOMB.=s|GENRE=m
par	par	PRE	MORPH=empty
l	le	DETdef	NOMB.=s|GENRE=m
homme	homme	NOMcom	NOMB.=s|GENRE=m
luy	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=i
grans	grand	ADJqua	NOMB.=p|GENRE=m
seigneurs	seigneur	NOMcom	NOMB.=p|GENRE=m
et	et	CONcoo	MORPH=empty
magnanimes	magnanime	ADJqua	NOMB.=p|GENRE=m
ne	ne	ADVneg	MORPH=empty
consiste	consister	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
pas	pas	ADVneg	MORPH=empty
seulement	seulement	ADVgen	MORPH=empty
en	en	PRE	MORPH=empty
donner	donner	VERinf	MORPH=empty
grans	grand	ADJqua	NOMB.=p|GENRE=m
dons	don	NOMcom	NOMB.=p|GENRE=m
et	et	CONcoo	MORPH=empty
de	de	PRE	MORPH=empty
grosse	gros	ADJqua	NOMB.=s|GENRE=f
estimation	estimation	NOMcom	NOMB.=s|GENRE=f
et	et	CONcoo	MORPH=empty
valeur	valeur	NOMcom	NOMB.=s|GENRE=f
proportionnez	proportionner	VERppe	NOMB.=p|GENRE=m
et	et	CONcoo	MORPH=empty
accomodez	accommoder	VERppe	NOMB.=p|GENRE=m
a	à	PRE	MORPH=empty
la	le	DETdef	NOMB.=s|GENRE=f
qualite	qualité	NOMcom	NOMB.=s|GENRE=f
condition	condition	NOMcom	NOMB.=s|GENRE=f
et	et	CONcoo	MORPH=empty
merite	mérite	NOMcom	NOMB.=s|GENRE=m
des	de_le	PRE.DETdef	NOMB.=p|GENRE=m
donataires	donataire	NOMcom	NOMB.=p|GENRE=m
par	par	PRE	MORPH=empty
hault	haut	ADJqua	NOMB.=s|GENRE=m
et	et	CONcoo	MORPH=empty
magnificque	magnifique	ADJqua	NOMB.=s|GENRE=m
vouloir	vouloir	NOMcom	NOMB.=s|GENRE=m
des	de_le	PRE.DETdef	NOMB.=p|GENRE=m
donnans	donnant	NOMcom	NOMB.=p|GENRE=m
,	,	PONfbl	MORPH=empty
mais	mais	CONcoo	MORPH=empty
aussi	aussi	ADVgen	MORPH=empty
en	en	PRE	MORPH=empty
acceptant	accepter	VERppa	NOMB.=s|GENRE=m
par	par	PRE	MORPH=empty
lesdictz	ledit	DETcom	NOMB.=p|GENRE=m
seigneurs	seigneur	NOMcom	NOMB.=p|GENRE=m
par	par	PRE	MORPH=empty
une	un	DETndf	NOMB.=s|GENRE=f
prompte	prompt	ADJqua	NOMB.=s|GENRE=f
humanite	humanité	NOMcom	NOMB.=s|GENRE=f
et	et	CONcoo	MORPH=empty
benignite	bénignité	NOMcom	NOMB.=s|GENRE=f
courtoise	courtois	ADJqua	NOMB.=s|GENRE=f
dons	don	NOMcom	NOMB.=p|GENRE=m
et	et	CONcoo	MORPH=empty
presens	présent	NOMcom	NOMB.=p|GENRE=m
de	de	PRE	MORPH=empty
petite	petit	ADJqua	NOMB.=s|GENRE=f
estime	estime	NOMcom	NOMB.=s|GENRE=f
,	,	PONfbl	MORPH=empty
faictz	faire	VERppe	NOMB.=p|GENRE=m
par	par	PRE	MORPH=empty
discretion	discrétion	NOMcom	NOMB.=s|GENRE=f
et	et	CONcoo	MORPH=empty
oportunite	opportunité	NOMcom	NOMB.=s|GENRE=f
par	par	PRE	MORPH=empty
leurs	leur	DETpos	PERS.=3|NOMB.=p|GENRE=m
subiectz	sujet	NOMcom	NOMB.=p|GENRE=m
et	et	CONcoo	MORPH=empty
seruiteurs	serviteur	NOMcom	NOMB.=p|GENRE=m
en	en	PRE	MORPH=empty
supportant	supporter	VERppa	NOMB.=s|GENRE=n
l	la	DETdef	NOMB.=s|GENRE=f
affection	affection	NOMcom	NOMB.=s|GENRE=f
de	de	PRE	MORPH=empty
ceulx	celui	PROdem	NOMB.=p|GENRE=m
qui	qui	PROrel	NOMB.=p|GENRE=m
offrent	offrir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
humblement	humblement	ADVgen	MORPH=empty
et	et	CONcoo	MORPH=empty
franchement	franchement	ADVgen	MORPH=empty
selon	selon	PRE	MORPH=empty
leur	leur	DETpos	PERS.=3|NOMB.=s|GENRE=m
pouoir	pouvoir	NOMcom	NOMB.=s|GENRE=m
et	et	CONcoo	MORPH=empty
faculte	faculté	NOMcom	NOMB.=s|GENRE=f
.	.	PONfrt	MORPH=empty
Et	et	CONcoo	MORPH=empty
tantost	tantôt	ADVgen	MORPH=empty
me	je	PROper	PERS.=1|NOMB.=s|GENRE=x|CAS=r
confiant	confier	VERppa	NOMB.=s|GENRE=x
de	de	PRE	MORPH=empty
l	la	DETdef	NOMB.=s|GENRE=f
humanite	humanité	NOMcom	NOMB.=s|GENRE=f
tres	très	ADVgen	MORPH=empty
accessible	accessible	ADJqua	NOMB.=s|GENRE=f
et	et	CONcoo	MORPH=empty
regard	regard	NOMcom	NOMB.=s|GENRE=m
doulx	doux	ADJqua	NOMB.=p|GENRE=m
et	et	CONcoo	MORPH=empty
begnin	bénin	ADJqua	NOMB.=s|GENRE=m
que	que	PROrel	NOMB.=s|GENRE=m
i	je	PROper	PERS.=1|NOMB.=s|GENRE=x|CAS=n
auoye	avoir	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s
apperceu	apercevoir	VERppe	NOMB.=s|GENRE=x
et	et	CONcoo	MORPH=empty
note	noter	VERppe	NOMB.=s|GENRE=x
en	en	PRE	MORPH=empty
vous	vous	PROper	PERS.=2|NOMB.=p|GENRE=x|CAS=r
,	,	PONfbl	MORPH=empty
me	je	PROper	PERS.=1|NOMB.=s|GENRE=x|CAS=r
deliberay	délibérer	VERcjg	MODE=ind|TEMPS=fut|PERS.=1|NOMB.=s
de	de	PRE	MORPH=empty
faire	faire	VERinf	MORPH=empty
essay	essai	NOMcom	NOMB.=s|GENRE=m
tel	tel	DETind	NOMB.=s|GENRE=m
et	et	CONcoo	MORPH=empty
semblable	semblable	ADJqua	NOMB.=s|GENRE=m
enuers	envers	PRE	MORPH=empty
vous	vous	PROper	PERS.=2|NOMB.=p|GENRE=x|CAS=i
que	que	CONsub	MORPH=empty
les	le	DETdef	NOMB.=p|GENRE=m
corinthiens	corinthien	NOMcom	NOMB.=p|GENRE=m
peuple	peuple	NOMcom	NOMB.=s|GENRE=m
de	de	PRE	MORPH=empty
grece	Grèce	NOMpro	NOMB.=s|GENRE=f
firent	faire	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=p
iadis	jadis	ADVgen	MORPH=empty
enuers	envers	PRE	MORPH=empty
alexandre	Alexandre	NOMpro	NOMB.=s|GENRE=m
.	.	PONfrt	MORPH=empty
Lesquelz	lequel	PROrel	NOMB.=p|GENRE=m
ou	en_le	PRE.DETdef	NOMB.=s|GENRE=m
temps	temps	NOMcom	NOMB.=s|GENRE=m
qu	que	PROrel	NOMB.=s|GENRE=m
ledit	ledit	DETcom	NOMB.=s|GENRE=m
roy	roi	NOMcom	NOMB.=s|GENRE=m
auoit	avoir	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s
ia	jà	ADVgen	MORPH=empty
conquis	conquérir	VERppe	NOMB.=s|GENRE=m
la	le	DETdef	NOMB.=s|GENRE=f
plus	plus	ADVgen	MORPH=empty
grant	grand	ADJqua	NOMB.=s|GENRE=f
part	part	NOMcom	NOMB.=s|GENRE=f
de	de	PRE	MORPH=empty
l	la	DETdef	NOMB.=s|GENRE=f
asie	Asie	NOMpro	NOMB.=s|GENRE=f
deca	deçà	ADVgen	MORPH=empty
le	le	DETdef	NOMB.=s|GENRE=m
fleuue	fleuve	NOMcom	NOMB.=s|GENRE=m
de	de	PRE	MORPH=empty
ganges	Gange	NOMpro	NOMB.=s|GENRE=x
,	,	PONfbl	MORPH=empty
voyans	voir	VERppa	NOMB.=s|GENRE=m
que	que	CONsub	MORPH=empty
tous	tout	DETind	NOMB.=p|GENRE=m
empires	empire	NOMcom	NOMB.=p|GENRE=m
et	et	CONcoo	MORPH=empty
dominations	domination	NOMcom	NOMB.=p|GENRE=f
s	se	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=r
enclinoient	encliner	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=p
a	à	PRE	MORPH=empty
la	le	DETdef	NOMB.=s|GENRE=f
societe	société	NOMcom	NOMB.=s|GENRE=f
et	et	CONcoo	MORPH=empty
confederation	confédération	NOMcom	NOMB.=s|GENRE=f
de	de	PRE	MORPH=empty
luy	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=i
conspirans	conspirant	VERppa	NOMB.=p|GENRE=m
et	et	CONcoo	MORPH=empty
soy	se	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=r
adonnans	adonner	VERppa	NOMB.=p|GENRE=m
auec	avec	PRE	MORPH=empty
la	le	DETdef	NOMB.=s|GENRE=f
faueur	faveur	NOMcom	NOMB.=s|GENRE=f
de	de	PRE	MORPH=empty
ce	ce	PROdem	NOMB.=s|GENRE=n
fist	faire	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
non	non	ADVneg	MORPH=empty
pour	pour	PRE	MORPH=empty
l	la	DETdef	NOMB.=s|GENRE=f
offre	offre	NOMcom	NOMB.=s|GENRE=f
en	en	PRE	MORPH=empty
soy	se	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=i
qui	qui	PROrel	NOMB.=p|GENRE=f
estoit	être	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s
de	de	PRE	MORPH=empty
nul	nul	DETind	NOMB.=s|GENRE=f
estime	estime	NOMcom	NOMB.=s|GENRE=f
comparee	comparer	VERppe	NOMB.=s|GENRE=f
a	à	PRE	MORPH=empty
sa	son	DETpos	PERS.=3|NOMB.=s|GENRE=f
grandeur	grandeur	NOMcom	NOMB.=s|GENRE=f
,	,	PONfbl	MORPH=empty
mais	mais	CONcoo	MORPH=empty
pour	pour	PRE	MORPH=empty
l	la	DETdef	NOMB.=s|GENRE=f
affection	affection	NOMcom	NOMB.=s|GENRE=f
des	de_le	PRE.DETdef	NOMB.=p|GENRE=m
offrans	offrant	NOMcom	NOMB.=p|GENRE=m
,	,	PONfbl	MORPH=empty
qui	qui	PROrel	NOMB.=p|GENRE=m
luy	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=i
offroient	offrir	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=p
promtemẽt	promptement	ADVgen	MORPH=empty
et	et	CONcoo	MORPH=empty
reueremment	révéremment	ADVgen	MORPH=empty
la	le	DETdef	NOMB.=s|GENRE=f
chose	chose	NOMcom	NOMB.=s|GENRE=f
qu	que	PROrel	NOMB.=s|GENRE=f
ilz	il	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=n
auoient	avoir	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=p
plus	plus	ADVgen	MORPH=empty
chere	cher	ADJqua	NOMB.=s|GENRE=f
.	.	PONfrt	MORPH=empty
pareillement	pareillement	ADVgen	MORPH=empty
sire	sire	NOMcom	NOMB.=s|GENRE=m
combien	combien	ADVgen	MORPH=empty
que	que	CONsub	MORPH=empty
i	je	PROper	PERS.=1|NOMB.=s|GENRE=x|CAS=n
aye	avoir	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s
employe	employer	VERppe	NOMB.=s|GENRE=x
la	le	DETdef	NOMB.=s|GENRE=f
fleur	fleur	NOMcom	NOMB.=s|GENRE=f
de	de	PRE	MORPH=empty
mon	mon	DETpos	PERS.=1|NOMB.=s|GENRE=m
aage	âge	NOMcom	NOMB.=s|GENRE=m
en	en	PRE	MORPH=empty
l	la	DETdef	NOMB.=s|GENRE=f
estude	étude	NOMcom	NOMB.=s|GENRE=f
et	et	CONcoo	MORPH=empty
excercice	exercice	NOMcom	NOMB.=s|GENRE=m
des	de_le	PRE.DETdef	NOMB.=p|GENRE=f
bonnes	bon	ADJqua	NOMB.=p|GENRE=f
lettres	lettre	NOMcom	NOMB.=p|GENRE=f
et	et	CONcoo	MORPH=empty
compose	composer	VERppe	NOMB.=s|GENRE=x
aucuns	aucun	DETind	NOMB.=p|GENRE=m
liures	livre	NOMcom	NOMB.=p|GENRE=m
,	,	PONfbl	MORPH=empty
si	si	CONsub	MORPH=empty
n	ne	ADVneg	MORPH=empty
euz	avoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=1|NOMB.=s
ie	je	PROper	PERS.=1|NOMB.=s|GENRE=x|CAS=n
oncque	onque	ADVgen	MORPH=empty
vouloir	vouloir	NOMcom	NOMB.=s|GENRE=m
de	de	PRE	MORPH=empty
presenter	présenter	VERinf	MORPH=empty
liure	livre	NOMcom	NOMB.=s|GENRE=m
a	à	PRE	MORPH=empty
roy	roi	NOMcom	NOMB.=s|GENRE=m
ne	ni	CONcoo	MORPH=empty
autre	autre	DETind	NOMB.=s|GENRE=m
prince	prince	NOMcom	NOMB.=s|GENRE=m
iusques	jusque	ADVgen	MORPH=empty
a	à	PRE	MORPH=empty
present	présent	NOMcom	NOMB.=s|GENRE=m
que	que	CONsub	MORPH=empty
i	je	PROper	PERS.=1|NOMB.=s|GENRE=x|CAS=n
ay	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
este	être	VERppe	NOMB.=s|GENRE=x
meu	mouvoir	VERppe	NOMB.=s|GENRE=x
de	de	PRE	MORPH=empty
vous	vous	PROper	PERS.=2|NOMB.=p|GENRE=x|CAS=r
presenter	présenter	VERinf	MORPH=empty
ce	ce	DETdem	NOMB.=s|GENRE=m
petit	petit	ADJqua	NOMB.=s|GENRE=m
liure	livre	NOMcom	NOMB.=s|GENRE=m
apres	après	PRE	MORPH=empty
que	que	CONsub	MORPH=empty
i	je	PROper	PERS.=1|NOMB.=s|GENRE=x|CAS=n
ay	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
eu	avoir	VERppe	NOMB.=s|GENRE=x
assez	assez	ADVgen	MORPH=empty
note	noter	VERppe	NOMB.=s|GENRE=x
en	en	PRE	MORPH=empty
vous	vous	PROper	PERS.=2|NOMB.=p|GENRE=x|CAS=i
aucunes	aucun	DETind	NOMB.=p|GENRE=f
choses	chose	NOMcom	NOMB.=p|GENRE=f
singulieres	singulier	ADJqua	NOMB.=p|GENRE=f
et	et	CONcoo	MORPH=empty
recommendables	recommandable	ADJqua	NOMB.=p|GENRE=f
dont	dont	PROrel	NOMB.=p|GENRE=f
mention	mention	NOMcom	NOMB.=s|GENRE=f
est	être	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
faicte	faire	VERppe	NOMB.=s|GENRE=f
en	en	PRE	MORPH=empty
iceluy	icelui	PROdem	NOMB.=s|GENRE=m
.	.	PONfrt	MORPH=empty
Lequel	lequel	DETrel	NOMB.=s|GENRE=m
