form	lemma	POS	morph
BRADAMANTE	Bradamante	NOMpro	NOMB.=s|GENRE=f
,	,	PONfbl	MORPH=empty
TRAGECOMEDIE	tragi-comédie	NOMcom	NOMB.=s|GENRE=f
.	.	PONfrt	MORPH=empty
suruiuront	survivre	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=p
noſtre	notre	DETpos	PERS.=1|NOMB.=s|GENRE=m
ſiecle	siècle	NOMcom	NOMB.=s|GENRE=m
,	,	PONfbl	MORPH=empty
les	le	DETdef	NOMB.=p|GENRE=m
admirables	admirable	ADJqua	NOMB.=p|GENRE=m
effets	effet	NOMcom	NOMB.=p|GENRE=m
de	de	PRE	MORPH=empty
vos	votre	DETpos	PERS.=2|NOMB.=p|GENRE=f
heroiques	héroïque	ADJqua	NOMB.=p|GENRE=m
vertus	vertu	NOMcom	NOMB.=p|GENRE=m
,	,	PONfbl	MORPH=empty
blaſmeroit	blâmer	VERcjg	MODE=con|PERS.=3|NOMB.=s
noſtre	notre	DETpos	PERS.=1|NOMB.=s|GENRE=f
ingrate	ingrat	ADJqua	NOMB.=s|GENRE=f
mecognoiſſance	méconnaissance	NOMcom	NOMB.=s|GENRE=f
,	,	PONfbl	MORPH=empty
de	de	PRE	MORPH=empty
n’	ne	ADVneg	MORPH=empty
auoir	avoir	VERinf	MORPH=empty
par	par	PRE	MORPH=empty
nos	notre	DETpos	PERS.=1|NOMB.=p|GENRE=f
plumes	plume	NOMcom	NOMB.=p|GENRE=f
teſtifié	testifier	VERppe	NOMB.=s|GENRE=x
la	le	DETdef	NOMB.=s|GENRE=f
grace	grâce	NOMcom	NOMB.=s|GENRE=f
que	que	PROrel	NOMB.=s|GENRE=f
Dieu	Dieu	NOMpro	NOMB.=s|GENRE=m
nous	nous	PROper	PERS.=1|NOMB.=p|GENRE=x|CAS=i
fait	faire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
de	de	PRE	MORPH=empty
viure	vivre	VERinf	MORPH=empty
ſous	sous	PRE	MORPH=empty
la	le	DETdef	NOMB.=s|GENRE=f
douce	doux	ADJqua	NOMB.=s|GENRE=f
ſubiection	sujétion	NOMcom	NOMB.=s|GENRE=f
d’	de	PRE	MORPH=empty
vn	un	DETndf	NOMB.=s|GENRE=m
ſi	si	ADVgen	MORPH=empty
grand	grand	ADJqua	NOMB.=s|GENRE=m
Monarque	monarque	NOMpro	NOMB.=s|GENRE=m
,	,	PONfbl	MORPH=empty
que	que	PROrel	NOMB.=s|GENRE=m
les	le	DETdef	NOMB.=p|GENRE=f
nations	nation	NOMcom	NOMB.=p|GENRE=f
qui	qui	PROrel	NOMB.=p|GENRE=f
aboutẽt	abouter	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
les	le	DETdef	NOMB.=p|GENRE=f
frontieres	frontière	NOMcom	NOMB.=p|GENRE=f
de	de	PRE	MORPH=empty
Scythie	Scythie	NOMpro	NOMB.=s|GENRE=f
,	,	PONfbl	MORPH=empty
ont	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
ambitieuſement	ambitieusement	ADVgen	MORPH=empty
recherché	rechercher	VERppe	NOMB.=s|GENRE=m
pour	pour	PRE	MORPH=empty
maiſtre	maître	NOMcom	NOMB.=s|GENRE=m
.	.	PONfrt	MORPH=empty
Ie	je	PROper	PERS.=1|NOMB.=s|GENRE=x|CAS=n
ne	ne	ADVneg	MORPH=empty
crains	craindre	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
point	point	ADVneg	MORPH=empty
que	que	CONsub	MORPH=empty
ceux	celui	PROdem	NOMB.=p|GENRE=m
qui	qui	PROrel	NOMB.=p|GENRE=m
aurõt	avoir	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=p
approché	approcher	VERppe	NOMB.=p|GENRE=m
des	de_le	PRE.DETdef	NOMB.=p|GENRE=m
rayons	rayon	NOMcom	NOMB.=p|GENRE=m
de	de	PRE	MORPH=empty
voſtre	votre	DETpos	PERS.=2|NOMB.=s|GENRE=f
Maieſté	majesté	NOMpro	NOMB.=s|GENRE=f
,	,	PONfbl	MORPH=empty
me	je	PROper	PERS.=1|GENRE=x|NOMB.=s|CAS=r
iugent	juger	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
pour	pour	PRE	MORPH=empty
cela	cela	PROdem	NOMB.=s|GENRE=n
deborder	déborder	VERinf	MORPH=empty
en	en	PRE	MORPH=empty
louanges	louange	NOMcom	NOMB.=p|GENRE=f
immoderees	immodéré	NOMcom	NOMB.=p|GENRE=f
:	:	PONfbl	MORPH=empty
attendu	attendre	VERppe	NOMB.=s|GENRE=n
les	le	DETdef	NOMB.=p|GENRE=f
belles	beau	NOMcom	NOMB.=p|GENRE=f
&	et	CONcoo	MORPH=empty
recõmandables	recommandable	ADJqua	NOMB.=p|GENRE=f
parties	partie	NOMcom	NOMB.=p|GENRE=f
,	,	PONfbl	MORPH=empty
dont	dont	PROrel	NOMB.=p|GENRE=f
noſtre	notre	DETpos	PERS.=2|NOMB.=s|GENRE=m
Dieu	Dieu	NOMpro	NOMB.=s|GENRE=m
vous	vous	PROper	PERS.=2|GENRE=x|NOMB.=p|CAS=r
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
rendu	rendre	VERppe	NOMB.=s|GENRE=m
d’	de	PRE	MORPH=empty
eſprit	esprit	NOMcom	NOMB.=s|GENRE=m
&	et	CONcoo	MORPH=empty
de	de	PRE	MORPH=empty
corps	corps	NOMcom	NOMB.=s|GENRE=m
ſi	si	ADVgen	MORPH=empty
accompli	accomplir	VERppe	NOMB.=s|GENRE=m
.	.	PONfrt	MORPH=empty
Vous	vous	PROper	PERS.=2|GENRE=x|NOMB.=p|CAS=i
face	faire	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s
ſa	son	DETpos	PERS.=3|NOMB.=s|GENRE=f
bonté	bonté	NOMcom	NOMB.=s|GENRE=f
,	,	PONfbl	MORPH=empty
SIRE	sire	NOMpro	NOMB.=s|GENRE=m
,	,	PONfbl	MORPH=empty
proſperer	prospérer	VERinf	MORPH=empty
longuement	longuement	ADVgen	MORPH=empty
,	,	PONfbl	MORPH=empty
&	et	CONcoo	MORPH=empty
vous	vous	PROper	PERS.=2|GENRE=x|NOMB.=p|CAS=i
donne	donner	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s
entre	entre	PRE	MORPH=empty
autres	autre	DETind	NOMB.=p|GENRE=f
felicitez	félicité	NOMcom	NOMB.=p|GENRE=f
vne	un	DETndf	NOMB.=s|GENRE=f
poſterité	postérité	NOMcom	NOMB.=s|GENRE=f
telle	tel	ADJind	NOMB.=s|GENRE=f
que	que	CONsub	MORPH=empty
vous	vous	PROper	PERS.=2|GENRE=x|NOMB.=p|CAS=n
deſirez	désirer	VERcjg	MODE=ind|TEMPS=pst|PERS.=2|NOMB.=p
pour	pour	PRE	MORPH=empty
le	le	DETdef	NOMB.=s|GENRE=m
