form	lemma	POS	morph
ILLVSTRISSIME	illustrissime	ADJqua	NOMB.=s|GENRE=m|DEGRE=s
ET	et	CONcoo	MORPH=empty
REVERENDISSME	révérendissime	ADJqua	NOMB.=s|GENRE=m|DEGRE=s
.	.	PONfrt	MORPH=empty
A	à	PRE	MORPH=empty
MONSEIGNEVR	monseigneur	NOMpro	NOMB.=s|GENRE=m
.	.	PONfrt	MORPH=empty
LAVRENS	Laurent	NOMpro	NOMB.=s|GENRE=m
CVRSI	Cursi	NOMpro	NOMB.=s|GENRE=x
Doyen	doyen	NOMpro	NOMB.=s|GENRE=m
des	de_le	PRE.DETdef	NOMB.=p|GENRE=m
Protonotaires	protonotaire	NOMpro	NOMB.=p|GENRE=m
Apoſtolics	apostolique	NOMpro	NOMB.=p|GENRE=m
du	de_le	PRE.DETdef	NOMB.=s|GENRE=m
nombre	nombre	NOMcom	NOMB.=s|GENRE=m
des	de_le	PRE.DETdef	NOMB.=p|GENRE=m
Participans	participant	NOMpro	NOMB.=p|GENRE=m
,	,	PONfbl	MORPH=empty
Referendaire	référendaire	NOMpro	NOMB.=s|GENRE=m
de	de	PRE	MORPH=empty
l'	le	DETdef	NOMB.=s|GENRE=f
vne	un	PROind	NOMB.=s|GENRE=f
&	et	CONcoo	MORPH=empty
l'	le	DETdef	NOMB.=s|GENRE=f
autre	autre	PROind	NOMB.=s|GENRE=f
Signature	signature	NOMpro	NOMB.=s|GENRE=f
,	,	PONfbl	MORPH=empty
Vicelegat	vice-légat	NOMpro	NOMB.=s|GENRE=m
&	et	CONcoo	MORPH=empty
Gouuerneur	gouverneur	NOMpro	NOMB.=s|GENRE=m
General	général	NOMpro	NOMB.=s|GENRE=m
en	en	PRE	MORPH=empty
cette	ce	DETdem	NOMB.=s|GENRE=f
Cité	cité	NOMpro	NOMB.=s|GENRE=f
&	et	CONcoo	MORPH=empty
Legation	légation	NOMpro	NOMB.=s|GENRE=f
d’	de	PRE	MORPH=empty
Auignon	Avignon	NOMpro	NOMB.=s|GENRE=x
,	,	PONfbl	MORPH=empty
&	et	CONcoo	MORPH=empty
Sur	sur	NOMpro	MORPH=empty
-	-	PONfbl	MORPH=empty
Intendant	intendant	NOMpro	NOMB.=s|GENRE=m
General	général	NOMpro	NOMB.=s|GENRE=m
au	à_le	PRE.DETdef	NOMB.=s|GENRE=m
fait	fait	NOMcom	NOMB.=s|GENRE=m
des	de_le	PRE.DETdef	NOMB.=p|GENRE=f
Armes	arme	NOMpro	NOMB.=p|GENRE=f
pour	pour	PRE	MORPH=empty
Noſtre	notre	NOMpro	PERS.=1|NOMB.=p|GENRE=m
Saint	Saint	NOMpro	NOMB.=s|GENRE=m
pere	père	NOMcom	NOMB.=s|GENRE=m
en	en	PRE	MORPH=empty
cet	ce	DETdem	NOMB.=s|GENRE=m
Eſtat	état	NOMpro	NOMB.=s|GENRE=m
.	.	PONfrt	MORPH=empty
MONSEIGNEVR	monseigneur	NOMcom	NOMB.=s|GENRE=m
.	.	PONfrt	MORPH=empty
Pvis	puis	ADVgen	MORPH=empty
qu’	que	CONsub	MORPH=empty
il	il	PROimp	PERS.=3|NOMB.=s|GENRE=x|CAS=n
vous	vous	PROper	PERS.=2|NOMB.=p|GENRE=m|CAS=i
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
pleu	plaire	VERppe	NOMB.=p|GENRE=m
d’	de	PRE	MORPH=empty
honnorer	honorer	VERinf	MORPH=empty
noſtre	notre	DETpos	PERS.=1|NOMB.=p|GENRE=m
Balet	ballet	NOMpro	NOMB.=s|GENRE=m
de	de	PRE	MORPH=empty
voſtre	votre	DETpos	PERS.=2|NOMB.=p|GENRE=f
preſence	présence	NOMcom	NOMB.=s|GENRE=f
autant	autant	ADVgen	MORPH=empty
de	de	PRE	MORPH=empty
fois	fois	NOMcom	NOMB.=p|GENRE=f
que	que	CONsub	MORPH=empty
le	le	DETdef	NOMB.=s|GENRE=m
deſir	désir	NOMcom	NOMB.=s|GENRE=m
des	de_le	PRE.DETdef	NOMB.=p|GENRE=m
Curieux	curieux	NOMpro	NOMB.=p|GENRE=m
nous	nous	PROper	PERS.=1|NOMB.=p|GENRE=x|CAS=r
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
obligé	obliger	VERppe	NOMB.=s|GENRE=m
de	de	PRE	MORPH=empty
le	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
.	.	PONfrt	MORPH=empty
danſer	danser	VERinf	MORPH=empty
,	,	PONfbl	MORPH=empty
&	et	CONcoo	MORPH=empty
leur	il	PROper	PERS.=3|NOMB.=p|GENRE=x|CAS=i
faire	faire	VERinf	MORPH=empty
voir	voir	VERinf	MORPH=empty
les	le	DETdef	NOMB.=p|GENRE=f
merveilleuſes	merveilleux	ADJqua	NOMB.=p|GENRE=f
decorations	décoration	NOMcom	NOMB.=p|GENRE=f
du	de_le	PRE.DETdef	NOMB.=s|GENRE=m
Theatre	théâtre	NOMpro	NOMB.=s|GENRE=m
,	,	PONfbl	MORPH=empty
nous	nous	PROper	PERS.=1|NOMB.=p|GENRE=x|CAS=n
auons	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=p
creu	croire	VERppe	NOMB.=s|GENRE=m
d’	de	PRE	MORPH=empty
y	y	PROadv	MORPH=empty
auoir	avoir	VERinf	MORPH=empty
entierement	entièrement	ADVgen	MORPH=empty
rencontré	rencontrer	VERppe	NOMB.=s|GENRE=m
voſtre	votre	DETpos	PERS.=2|NOMB.=p|GENRE=f
ſatisfaction	satisfaction	NOMcom	NOMB.=s|GENRE=f
,	,	PONfbl	MORPH=empty
&	et	CONcoo	MORPH=empty
que	que	CONsub	MORPH=empty
ce	ce	DETdem	NOMB.=s|GENRE=m
diuertiſſement	divertissement	NOMcom	NOMB.=s|GENRE=m
que	que	PROrel	MORPH=empty
nous	nous	PROper	PERS.=1|NOMB.=p|GENRE=x|CAS=n
donnions	donner	VERcjg	MODE=ind|TEMPS=ipf|PERS.=1|NOMB.=p
au	à_le	PRE.DETdef	NOMB.=s|GENRE=m
public	public	NOMcom	NOMB.=s|GENRE=m
,	,	PONfbl	MORPH=empty
&	et	CONcoo	MORPH=empty
