form	lemma	POS	morph
POur	pour	PRE	MORPH=empty
entamer	entamer	VERinf	MORPH=empty
donques	donc	CONcoo	MORPH=empty
cest	ce	DETdem	NOMB.=s|GENRE=f
oeuure	œuvre	NOMcom	NOMB.=s|GENRE=f
il	il	PROimp	PERS.=0|NOMB.=s|GENRE=n|CAS=n
est	être	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
tout	tout	ADVgen	MORPH=empty
notoire	notoire	ADJqua	NOMB.=s|GENRE=n
a	à	PRE	MORPH=empty
tous	tout	DETind	NOMB.=p|GENRE=m
bons	bon	ADJqua	NOMB.=p|GENRE=m
,	,	PONfbl	MORPH=empty
et	et	CONcoo	MORPH=empty
urays	vrai	ADJqua	NOMB.=p|GENRE=m
catholiques	catholique	NOMcom	NOMB.=p|GENRE=m
de	de	PRE	MORPH=empty
mettre	mettre	VERinf	MORPH=empty
et	et	CONcoo	MORPH=empty
rediger	rédiger	VERinf	MORPH=empty
par	par	PRE	MORPH=empty
escript	écrit	NOMcom	NOMB.=s|GENRE=m
a	à	PRE	MORPH=empty
la	le	DETdef	NOMB.=s|GENRE=f
memoire	mémoire	NOMcom	NOMB.=s|GENRE=f
perpetuelle	perpétuel	ADJqua	NOMB.=s|GENRE=f
des	de_le	PRE.DETdef	NOMB.=p|GENRE=m
crestiens	chrétien	NOMcom	NOMB.=p|GENRE=m
,	,	PONfbl	MORPH=empty
les	il	DETdef	NOMB.=p|GENRE=f
faites	faire	VERppe	NOMB.=p|GENRE=f
et	et	CONcoo	MORPH=empty
urayes	vrai	ADJqua	NOMB.=p|GENRE=f
paroles	parole	NOMcom	NOMB.=p|GENRE=f
ensembles	ensemble	ADVgen	MORPH=empty
les	le	DETdef	NOMB.=p|GENRE=f
u̾tueuses	vertueux	ADJqua	NOMB.=p|GENRE=f
oeuures	œuvre	NOMcom	NOMB.=p|GENRE=f
et	et	CONcoo	MORPH=empty
faitz	fait	NOMcom	NOMB.=p|GENRE=m
de	de	PRE	MORPH=empty
nostre	notre	DETpos	PERS.=1|NOMB.=s|GENRE=m
benoist	bénir	VERppe	NOMB.=s|GENRE=m
sauueur	sauveur	NOMcom	NOMB.=s|GENRE=m
ihũ	Jésus	NOMpro	NOMB.=s|GENRE=m
crist	Christ	NOMpro	NOMB.=s|GENRE=m
et	et	CONcoo	MORPH=empty
des	de_le	PRE.DETdef	NOMB.=p|GENRE=m
saĩs	saint	ADJqua	NOMB.=p|GENRE=m
apostres	apôtre	NOMcom	NOMB.=p|GENRE=m
furent	être	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=p
esleuz	élire	VERppe	NOMB.=p|GENRE=m
quatre	quatre	DETcar	NOMB.=p|GENRE=m
preudhõmes	prudhomme	NOMcom	NOMB.=p|GENRE=m
d	de	PRE	MORPH=empty
entreulx	entre_il	PRE.PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=r
plaĩs	plein	ADJqua	NOMB.=p|GENRE=m
de	de	PRE	MORPH=empty
uerite	vérité	NOMcom	NOMB.=s|GENRE=f
et	et	CONcoo	MORPH=empty
uertu	vertu	NOMcom	NOMB.=s|GENRE=f
pour	pour	PRE	MORPH=empty
faire	faire	VERinf	MORPH=empty
cestuy	ce	DETdem	NOMB.=s|GENRE=m
saint	saint	ADJqua	NOMB.=s|GENRE=m
mistere	mystère	NOMcom	NOMB.=s|GENRE=m
qui	qui	PROrel	NOMB.=p|GENRE=m
se	il	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=r
nõment	nommer	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
euãgiles	évangile	NOMcom	NOMB.=p|GENRE=m
ꝑ	par	PRE	MORPH=empty
les	le	DETdef	NOMB.=p|GENRE=f
escriptures	écriture	NOMcom	NOMB.=p|GENRE=f
lesquelles	lequel	PROrel	NOMB.=p|GENRE=f
la	le	DETdef	NOMB.=s|GENRE=f
uraye	vrai	ADJqua	NOMB.=s|GENRE=f
et	et	CONcoo	MORPH=empty
saĩcte	saint	ADJqua	NOMB.=s|GENRE=f
foy	foi	NOMcom	NOMB.=s|GENRE=f
catholique	catholique	ADJqua	NOMB.=s|GENRE=f
est	être	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
tenue	tenir	VERppe	NOMB.=s|GENRE=f
en	en	PRE	MORPH=empty
lumiere	lumière	NOMcom	NOMB.=s|GENRE=f
et	et	CONcoo	MORPH=empty
corroboree	corroborer	VERppe	NOMB.=s|GENRE=f
et	et	CONcoo	MORPH=empty
sera	être	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=s
iusques	jusque	ADVgen	MORPH=empty
a	à	PRE	MORPH=empty
la	le	DETdef	NOMB.=s|GENRE=f
fin	fin	NOMcom	NOMB.=s|GENRE=f
des	de_le	PRE.DETdef	NOMB.=p|GENRE=m
siecles	siècle	NOMcom	NOMB.=p|GENRE=m
.	.	PONfrt	MORPH=empty
Asembla	assembler	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
donques	donc	CONcoo	MORPH=empty
pour	pour	PRE	MORPH=empty
uerifier	vérifier	VERinf	MORPH=empty
et	et	CONcoo	MORPH=empty
mettre	mettre	VERinf	MORPH=empty
en	en	PRE	MORPH=empty
auant	avant	NOMcom	NOMB.=s|GENRE=m
les	le	DETdef	NOMB.=p|GENRE=f
parolles	parole	NOMcom	NOMB.=p|GENRE=f
et	et	CONcoo	MORPH=empty
auctoritez	autorité	NOMcom	NOMB.=p|GENRE=f
des	de_le	PRE.DETdef	NOMB.=p|GENRE=f
fẽmes	femme	NOMcom	NOMB.=p|GENRE=f
de	de	PRE	MORPH=empty
iadis	jadis	ADVgen	MORPH=empty
affĩ	afin	ADVgen	MORPH=empty
aussi	aussi	ADVgen	MORPH=empty
de	de	PRE	MORPH=empty
les	il	PROper	PERS.=3|NOMB.=p|GENRE=f|CAS=r
non	non	ADVneg	MORPH=empty
perdre	perdre	VERinf	MORPH=empty
ne	ni	CONcoo	MORPH=empty
tellement	tellement	ADVgen	MORPH=empty
esuanouir	évanouir	VERinf	MORPH=empty
que	que	CONsub	MORPH=empty
la	le	DETdef	NOMB.=s|GENRE=f
memore	mémoire	NOMcom	NOMB.=s|GENRE=f
ne	ne	ADVneg	MORPH=empty
puisse	pouvoir	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s
estre	être	VERinf	MORPH=empty
fresche	fraîche	ADJqua	NOMB.=s|GENRE=f
et	et	CONcoo	MORPH=empty
recite	réciter	VERcjg	MODE=x|TEMPS=pst|PERS.=3|NOMB.=s
entre	entre	PRE	MORPH=empty
celles	celui	PROdem	NOMB.=p|GENRE=f
du	de_le	PRE.DETdef	NOMB.=s|GENRE=m
temps	temps	NOMcom	NOMB.=s|GENRE=m
present	présent	ADJqua	NOMB.=s|GENRE=m
et	et	CONcoo	MORPH=empty
de	de	PRE	MORPH=empty
celui	celui	PROdem	NOMB.=s|GENRE=m
ont	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
este	être	VERppe	NOMB.=p|GENRE=f
trouuees	trouver	VERppe	NOMB.=p|GENRE=f
six	six	DETcar	NOMB.=p|GENRE=f
matrones	matrone	NOMcom	NOMB.=p|GENRE=f
saiges	sage	ADJqua	NOMB.=p|GENRE=f
qͥ	qui	PROrel	NOMB.=p|GENRE=f
prudentes	prudent	ADJqua	NOMB.=p|GENRE=f
a	à	PRE	MORPH=empty
reciter	réciter	VERinf	MORPH=empty
et	et	CONcoo	MORPH=empty
lire	lire	VERinf	MORPH=empty
lesď	ledit	DETcom	NOMB.=p|GENRE=f
euangilles	évangile	NOMcom	NOMB.=p|GENRE=f
des	de_le	PRE.DETdef	NOMB.=p|GENRE=f
quenouilles	quenouille	NOMcom	NOMB.=p|GENRE=f
en	en	PRE	MORPH=empty
la	le	DETdef	NOMB.=s|GENRE=f
maniere	manière	NOMcom	NOMB.=s|GENRE=f
qͥ	qui	PROrel	NOMB.=s|GENRE=f
ci	ci	ADVgen	MORPH=empty
ap̃s	après	PRE	MORPH=empty
sera	être	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=s
declare	déclarer	VERppe	NOMB.=s|GENRE=f
et	et	CONcoo	MORPH=empty
pour	pour	PRE	MORPH=empty
ce	ce	PROdem	NOMB.=s|GENRE=n
q̃	que	CONsub	MORPH=empty
n	en	PRE	MORPH=empty
tout	tout	DETind	NOMB.=s|GENRE=m
tesmoĩgnage	témoignage	NOMcom	NOMB.=s|GENRE=m
de	de	PRE	MORPH=empty
uerite	vérité	NOMcom	NOMB.=s|GENRE=f
il	il	PROimp	PERS.=0|NOMB.=s|GENRE=n|CAS=n
cõuient	convenir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
trois	trois	DETcar	NOMB.=p|GENRE=f
fẽmes	femme	NOMcom	NOMB.=p|GENRE=f
pour	pour	PRE	MORPH=empty
deux	deux	DETcar	NOMB.=p|GENRE=m
hões	homme	NOMcom	NOMB.=p|GENRE=m
pour	pour	PRE	MORPH=empty
faire	faire	VERinf	MORPH=empty
et	et	CONcoo	MORPH=empty
acõplir	accomplir	VERinf	MORPH=empty
dõques	donc	CONcooo	MORPH=empty
le	le	DETdef	NOMB.=s|GENRE=m
nombre	nombre	NOMcom	NOMB.=s|GENRE=m
desď	de_ledit	PRE.DETcom	NOMB.=p|GENRE=m
quatre	quatre	DETcar	NOMB.=p|GENRE=m
euãgelistes	évangéliste	NOMcom	NOMB.=p|GENRE=m
il	il	PROimp	PERS.=0|NOMB.=s|GENRE=n|CAS=n
conuient	convenir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
q̃	que	CONsub	MORPH=empty
six	six	DETcar	NOMB.=p|GENRE=f
fẽmes	femme	NOMcom	NOMB.=p|GENRE=f
aient	avoir	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=p
este	être	VERppe	NOMB.=p|GENRE=f
ẽpeschees	empêcher	VERppe	NOMB.=p|GENRE=f
de	de	PRE	MORPH=empty
faire	faire	VERinf	MORPH=empty
cestui	ce	DETdem	NOMB.=s|GENRE=f
oeuuvre	œuvre	NOMcom	NOMB.=s|GENRE=f
pour	pour	PRE	MORPH=empty
plꝰ	plus	ADVgen	MORPH=empty
grãde	grand	ADJqua	NOMB.=s|GENRE=f
approbation	approbation	NOMcom	NOMB.=s|GENRE=f
de	de	PRE	MORPH=empty
uerite	vérité	NOMcom	NOMB.=s|GENRE=f
desq̃lles	de_lequel	PRE.PROrel	NOMB.=p|GENRE=f
les	le	DETdef	NOMB.=p|GENRE=m
nõs	nom	NOMcom	NOMB.=p|GENRE=m
s	il	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=r
en	en	PROadv	MORPH=empty
suiuẽt	suivre	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
La	le	DETdef	NOMB.=s|GENRE=f
p̃miere	premier	NOMcom	NOMB.=s|GENRE=f
fut	être	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
nõmee	nommer	VERppe	NOMB.=s|GENRE=f
dame	dame	NOMcom	NOMB.=s|GENRE=f
ysengrine	Ysengrine	NOMpro	NOMB.=s|GENRE=f
du	de_le	PRE.DETdef	NOMB.=s|GENRE=m
glay	glai	NOMcom	NOMB.=s|GENRE=m
;	;	PONfbl	MORPH=empty
la	le	DETdef	NOMB.=s|GENRE=f
secõde	second	NOMcom	NOMB.=s|GENRE=f
se	il	PROper	PERS.=3|NOMB.=s|GENRE=f|CAS=r
nõmoit	nommer	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s
dame	dame	NOMcom	NOMB.=s|GENRE=f
trãseline	Transeline	NOMpro	NOMB.=s|GENRE=f
du	de_le	PRE.DETdef	NOMB.=s|GENRE=m
croq	croc	NOMcom	NOMB.=s|GENRE=m
.	.	PONfrt	MORPH=empty
la	le	DETdef	NOMB.=s|GENRE=f
tierce	tierce	NOMcom	NOMB.=s|GENRE=f
eut	avoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
nõ	nom	NOMcom	NOMB.=s|GENRE=m
dame	dame	NOMcom	NOMB.=s|GENRE=f
abũde	Abunde	NOMpro	NOMB.=s|GENRE=f
du	de_le	PRE.DETdef	NOMB.=s|GENRE=m
four	four	NOMcom	NOMB.=s|GENRE=m
la	le	DETdef	NOMB.=s|GENRE=f
quarte	quarte	NOMcom	NOMB.=s|GENRE=f
eut	avoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
nom	nom	NOMcom	NOMB.=s|GENRE=m
dame	dame	NOMcom	NOMB.=s|GENRE=f
sebile	Sybille	NOMpro	NOMB.=s|GENRE=f
des	de_le	PRE.DETdef	NOMB.=p|GENRE=m
marestz	marais	NOMcom	NOMB.=p|GENRE=m
la	le	DETdef	NOMB.=s|GENRE=f
quĩte	quinte	NOMcom	NOMB.=s|GENRE=f
eut	avoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
nõ	nom	NOMcom	NOMB.=s|GENRE=m
dãe	dame	NOMcom	NOMB.=s|GENRE=f
gõberde	Gomberde	NOMpro	NOMB.=s|GENRE=f
la	le	DETdef	NOMB.=s|GENRE=f
fee	fée	NOMcom	NOMB.=s|GENRE=f
.	.	PONfrt	MORPH=empty
la	le	DETdef	NOMB.=s|GENRE=f
quĩte	quinte	NOMcom	NOMB.=s|GENRE=f
eut	avoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
nom	nom	NOMcom	NOMB.=s|GENRE=m
dame	dame	NOMcom	NOMB.=s|GENRE=f
berthe	Berthe	NOMpro	NOMB.=s|GENRE=f
cornue	cornu	ADJqua	NOMB.=s|GENRE=f
Les	le	DETdef	NOMB.=p|GENRE=f
six	six	ADJcar	NOMB.=p|GENRE=f
dames	dame	NOMcom	NOMB.=p|GENRE=f
furẽt	être	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=p
si	si	ADVgen	MORPH=empty
tres	très	ADVgen	MORPH=empty
sages	sage	ADJqua	NOMB.=p|GENRE=f
en	en	PRE	MORPH=empty
leur	leur	DETpos	PERS.=3|NOMB.=s|GENRE=m
tẽps	temps	NOMcom	NOMB.=s|GENRE=m
q̃	que	CONsub	MORPH=empty
ce	ce	PROdem	NOMB.=s|GENRE=n
s	il	PROper	PERS.=3|NOMB.=s|GENRE=n|CAS=r
eust	avoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
este	être	VERppe	NOMB.=s|GENRE=n
pour	pour	PRE	MORPH=empty
cõiurer	conjurer	VERinf	MORPH=empty
ung	un	DETndf	NOMB.=s|GENRE=m
noir	noir	ADJqua	NOMB.=s|GENRE=m
dyable	diable	NOMcom	NOMB.=s|GENRE=m
ou	ou	CONcoo	MORPH=empty
pour	pour	PRE	MORPH=empty
le	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
lier	lier	VERinf	MORPH=empty
dessꝰ	dessus	ADVgen	MORPH=empty
ung	un	DETdef	NOMB.=s|GENRE=m
cõssin	coussin	NOMcom	NOMB.=s|GENRE=m
si	si	ADVgen	MORPH=empty
estoient	être	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=p
elles	il	PROper	PERS.=3|NOMB.=p|GENRE=f|CAS=n
asses	assez	ADVgen	MORPH=empty
expertes	expert	ADJqua	NOMB.=p|GENRE=f
et	et	CONcoo	MORPH=empty
abilles	habile	ADJqua	NOMB.=p|GENRE=f
.	.	PONfrt	MORPH=empty
Qui	qui	PROrel	NOMB.=s|GENRE=f
fut	être	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
la	le	DETdef	NOMB.=s|GENRE=f
premiere	premier	ADJord	NOMB.=s|GENRE=f
fẽme	femme	NOMcom	NOMB.=s|GENRE=f
qui	qui	PROrel	NOMB.=s|GENRE=f
mist	mettre	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
auãt	avant	ADVgen	MORPH=empty
ces	ce	DETdem	NOMB.=p|GENRE=f
euãgilles	évangile	NOMcom	NOMB.=p|GENRE=f
.	.	PONfrt	MORPH=empty
Et	et	CONcoo	MORPH=empty
cõment	comment	ADVgen	MORPH=empty
le	le	DETdef	NOMB.=s|GENRE=m
cõposeur	composeur	NOMcom	NOMB.=s|GENRE=m
de	de	PRE	MORPH=empty
ce	ce	DETdem	NOMB.=s|GENRE=m
liure	livre	NOMcom	NOMB.=s|GENRE=m
fut	être	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
