form	lemma	POS	morph
AUX	à_le	PRE.DETdef	NOMB.=p|GENRE=m
LIBERTINS	libertin	NOMcom	NOMB.=p|GENRE=m
.	.	PONfrt	MORPH=empty
VOLUPTUEUX	voluptueux	ADJqua	NOMB.=p|GENRE=m
de	de	PRE	MORPH=empty
tous	tout	DETind	NOMB.=p|GENRE=m
les	le	DETdef	NOMB.=p|GENRE=m
âges	âge	NOMcom	NOMB.=p|GENRE=m
et	et	CONcoo	MORPH=empty
de	de	PRE	MORPH=empty
tous	tout	DETind	NOMB.=p|GENRE=m
les	le	DETdef	NOMB.=p|GENRE=m
sexes	sexe	NOMcom	NOMB.=p|GENRE=m
,	,	PONfbl	MORPH=empty
c’	ce	PROdem	NOMB.=s|GENRE=n
est	être	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
à	à	PRE	MORPH=empty
vous	vous	PROper	PERS.=2|NOMB.=p|GENRE=x|CAS=i
seuls	seul	ADJqua	NOMB.=p|GENRE=m
que	que	CONsub	MORPH=empty
j’	je	PROper	PERS.=1|NOMB.=s|GENRE=x|CAS=n
offre	offrir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
cet	ce	DETdem	NOMB.=s|GENRE=m
ouvrage	ouvrage	NOMcom	NOMB.=s|GENRE=m
;	;	PONfbl	MORPH=empty
nourrissez	nourrir	VERcjg	MODE=imp|PERS.=2|NOMB.=p
-vous	vous	PROper	PERS.=2|NOMB.=p|GENRE=x|CAS=n
de	de	PRE	MORPH=empty
ses	son	DETpos	PERS.=3|NOMB.=s|GENRE=m
principes	principe	NOMcom	NOMB.=p|GENRE=m
,	,	PONfbl	MORPH=empty
ils	il	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=n
favorisent	favoriser	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
vos	votre	DETpos	PERS.=2|NOMB.=p|GENRE=f
passions	passion	NOMcom	NOMB.=p|GENRE=f
,	,	PONfbl	MORPH=empty
et	et	CONcoo	MORPH=empty
ces	ce	DETdem	NOMB.=p|GENRE=f
passions	passion	NOMcom	NOMB.=p|GENRE=f
,	,	PONfbl	MORPH=empty
dont	dont	PROrel	NOMB.=x|GENRE=x|CAS=i
de	de	PRE	MORPH=empty
froids	froid	ADJqua	NOMB.=p|GENRE=m
et	et	CONcoo	MORPH=empty
plats	plat	ADJqua	NOMB.=p|GENRE=m
moralistes	moraliste	NOMcom	NOMB.=p|GENRE=m
vous	vous	PROper	PERS.=2|NOMB.=p|GENRE=x|CAS=r
effrayent	effrayer	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
,	,	PONfbl	MORPH=empty
ne	ne	ADVneg	MORPH=empty
sont	être	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
que	que	ADVgen	MORPH=empty
les	le	DETdef	NOMB.=p|GENRE=m
moyens	moyen	NOMcom	NOMB.=p|GENRE=m
que	que	PROrel	MORPH=empty
la	le	DETdef	NOMB.=s|GENRE=f
nature	nature	NOMcom	NOMB.=s|GENRE=f
emploie	employer	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
pour	pour	PRE	MORPH=empty
faire	faire	VERinf	MORPH=empty
parvenir	parvenir	VERinf	MORPH=empty
l’	le	DETdef	NOMB.=s|GENRE=m
homme	homme	NOMcom	NOMB.=s|GENRE=m
aux	à_le	PRE.DETdef	NOMB.=p|GENRE=f
vues	vue	NOMcom	NOMB.=p|GENRE=f
qu’	que	PROrel	MORPH=empty
elle	il	PROper	PERS.=3|NOMB.=s|GENRE=f|CAS=n
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
sur	sur	PRE	MORPH=empty
lui	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=i
;	;	PONfbl	MORPH=empty
n’	ne	ADVneg	MORPH=empty
écoutez	écouter	VERcjg	MODE=imp|PERS.=2|NOMB.=p
que	que	ADVgen	MORPH=empty
ces	ce	DETdem	NOMB.=p|GENRE=f
passions	passion	NOMcom	NOMB.=p|GENRE=f
délicieuses	délicieux	ADJqua	NOMB.=p|GENRE=f
,	,	PONfbl	MORPH=empty
leur	leur	DETpos	PERS.=3|NOMB.=p|GENRE=m
organe	organe	NOMcom	NOMB.=s|GENRE=m
est	être	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
le	le	DETdef	NOMB.=s|GENRE=m
seul	seul	NOMcom	NOMB.=s|GENRE=m
qui	qui	PROrel	MORPH=empty
doive	devoir	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s
vous	vous	PROper	PERS.=2|NOMB.=p|GENRE=x|CAS=r
conduire	conduire	VERinf	MORPH=empty
au	à_le	PRE.DETdef	NOMB.=s|GENRE=m
bonheur	bonheur	NOMcom	NOMB.=s|GENRE=m
.	.	PONfrt	MORPH=empty
Femmes	femme	NOMcom	NOMB.=p|GENRE=f
lubriques	lubrique	ADJqua	NOMB.=p|GENRE=f
,	,	PONfbl	MORPH=empty
que	que	CONsub	MORPH=empty
la	le	DETdef	NOMB.=s|GENRE=f
voluptueuse	voluptueux	ADJqua	NOMB.=s|GENRE=f
Saint	Saint	NOMpro	NOMB.=s|GENRE=x
-	-	PONfbl	MORPH=empty
Ange	Ange	NOMpro	NOMB.=s|GENRE=x
soit	être	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s
votre	votre	DETpos	PERS.=2|NOMB.=p|GENRE=m
modèle	modèle	NOMcom	NOMB.=s|GENRE=m
;	;	PONfbl	MORPH=empty
méprisez	mépriser	VERcjg	MODE=imp|PERS.=2|NOMB.=p
,	,	PONfbl	MORPH=empty
à	à	PRE	MORPH=empty
son	son	DETpos	PERS.=3|NOMB.=s|GENRE=m
exemple	exemple	NOMcom	NOMB.=s|GENRE=m
,	,	PONfbl	MORPH=empty
tout	tout	DETind	NOMB.=s|GENRE=m
ce	ce	PROdem	NOMB.=s|GENRE=n
qui	qui	PROrel	MORPH=empty
contrarie	contrarier	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
les	le	DETdef	NOMB.=p|GENRE=f
loix	loi	NOMcom	NOMB.=p|GENRE=f
divines	divin	ADJqua	NOMB.=p|GENRE=f
du	de_le	PRE.DETdef	NOMB.=s|GENRE=m
plaisir	plaisir	NOMcom	NOMB.=s|GENRE=m
qui	qui	PROrel	MORPH=empty
l’	il	PROper	PERS.=3|NOMB.=s|GENRE=f|CAS=r
enchaînèrent	enchaîner	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=p
toute	tout	DETind	NOMB.=s|GENRE=f
sa	son	DETpos	PERS.=3|NOMB.=s|GENRE=f
vie	vie	NOMcom	NOMB.=s|GENRE=f
.	.	PONfrt	MORPH=empty
Jeunes	jeune	ADJqua	NOMB.=p|GENRE=f
filles	fille	NOMcom	NOMB.=p|GENRE=f
trop	trop	ADVgen	MORPH=empty
long	long	ADJqua	NOMB.=s|GENRE=m
-	-	PONfbl	MORPH=empty
temps	temps	NOMcom	NOMB.=s|GENRE=m
contenues	contenir	VERppe	NOMB.=p|GENRE=f
dans	dans	PRE	MORPH=empty
les	le	DETdef	NOMB.=p|GENRE=m
liens	lien	NOMcom	NOMB.=p|GENRE=m
absurdes	absurde	ADJqua	NOMB.=p|GENRE=m
et	et	CONcoo	MORPH=empty
dangereux	dangereux	ADJqua	NOMB.=p|GENRE=m
d’	de	PRE	MORPH=empty
une	un	DETndf	NOMB.=s|GENRE=f
vertu	vertu	NOMcom	NOMB.=s|GENRE=f
fantastique	fantastique	ADJqua	NOMB.=s|GENRE=f
et	et	CONcoo	MORPH=empty
d’	de	PRE	MORPH=empty
une	un	DETndf	NOMB.=s|GENRE=f
religion	religion	NOMcom	NOMB.=s|GENRE=f
dégoutante	dégoûter	VERppa	NOMB.=s|GENRE=f
,	,	PONfbl	MORPH=empty
imitez	imiter	VERcjg	MODE=imp|PERS.=2|NOMB.=p
l’	le	DETdef	NOMB.=s|GENRE=f
ardente	ardent	ADJqua	NOMB.=s|GENRE=f
Eugénie	Eugénie	NOMpro	NOMB.=s|GENRE=f
,	,	PONfbl	MORPH=empty
détruisez	détruire	VERcjg	MODE=imp|PERS.=2|NOMB.=p
,	,	PONfbl	MORPH=empty
foulez	fouler	VERcjg	MODE=imp|PERS.=2|NOMB.=p
aux	à_le	PRE.DETdef	NOMB.=p|GENRE=m
pieds	pied	NOMcom	NOMB.=p|GENRE=m
,	,	PONfbl	MORPH=empty
avec	avec	PRE	MORPH=empty
autant	autant	ADVgen	MORPH=empty
de	de	PRE	MORPH=empty
rapidité	rapidité	NOMcom	NOMB.=s|GENRE=f
qu’	que	CONsub	MORPH=empty
elle	il	PROper	PERS.=3|NOMB.=s|GENRE=f|CAS=i
,	,	PONfbl	MORPH=empty
tous	tout	DETind	NOMB.=p|GENRE=m
les	le	DETdef	NOMB.=p|GENRE=m
préceptes	précepte	NOMcom	NOMB.=p|GENRE=m
ridicules	ridicule	ADJqua	NOMB.=p|GENRE=m
,	,	PONfbl	MORPH=empty
inculqués	inculquer	VERppe	NOMB.=p|GENRE=m
par	par	PRE	MORPH=empty
d’	de	PRE	MORPH=empty
imbécilles	imbécile	ADJqua	NOMB.=p|GENRE=m
parens	parent	NOMcom	NOMB.=p|GENRE=m
.	.	PONfrt	MORPH=empty
