form	lemma	POS	morph
CHAPITRE	chapitre	NOMcom	NOMB.=s|GENRE=m
I	1	ADJcar	NOMB.=s|GENRE=m
.	.	PONfrt	MORPH=empty
Vne	un	DETndf	NOMB.=s|GENRE=f
trouppe	troupe	NOMcom	NOMB.=s|GENRE=f
de	de	PRE	MORPH=empty
Comediens	comédien	NOMpro	NOMB.=p|GENRE=m
arriue	arriver	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
dans	dans	PRE	MORPH=empty
la	le	DETdef	NOMB.=s|GENRE=f
ville	ville	NOMcom	NOMB.=s|GENRE=f
du	de_le	PRE.DETdef	NOMB.=s|GENRE=m
Mans	Mans	NOMpro	NOMB.=s|GENRE=m
.	.	PONfrt	MORPH=empty
LE	le	DETdef	NOMB.=s|GENRE=m
Soleil	soleil	NOMpro	NOMB.=s|GENRE=m
avoit	avoir	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s
acheué	achever	VERppe	NOMB.=s|GENRE=m
plus	plus	ADVgen	MORPH=empty
de	de	PRE	MORPH=empty
la	le	DETdef	NOMB.=s|GENRE=f
moitié	moitié	NOMcom	NOMB.=s|GENRE=f
de	de	PRE	MORPH=empty
ſa	son	DETpos	PERS.=3|NOMB.=s|GENRE=f
courſe	course	NOMcom	NOMB.=s|GENRE=f
,	,	PONfbl	MORPH=empty
&	et	CONcoo	MORPH=empty
ſon	son	DETpos	PERS.=3|NOMB.=s|GENRE=m
char	char	NOMcom	NOMB.=s|GENRE=m
ayant	avoir	VERppa	NOMB.=x|GENRE=x
attrappé	attraper	VERppe	NOMB.=s|GENRE=m
le	le	DETdef	NOMB.=s|GENRE=m
penchant	penchant	NOMcom	NOMB.=s|GENRE=m
du	de_le	PRE.DETdef	NOMB.=s|GENRE=m
monde	monde	NOMcom	NOMB.=s|GENRE=m
roulloit	rouler	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s
plus	plus	ADVgen	MORPH=empty
viſte	vite	ADVgen	MORPH=empty
qu’	que	CONsub	MORPH=empty
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
ne	ne	ADVneg	MORPH=empty
vouloit	vouloir	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s
.	.	PONfrt	MORPH=empty
Si	si	CONsub	MORPH=empty
ſes	son	DETpos	PERS.=3|NOMB.=s|GENRE=m
cheuaux	cheval	NOMcom	NOMB.=p|GENRE=m
euſſent	avoir	VERcjg	MODE=sub|TEMPS=ipf|PERS.=3|NOMB.=p
voulu	vouloir	VERppe	NOMB.=s|GENRE=m
profiter	profiter	VERinf	MORPH=empty
de	de	PRE	MORPH=empty
la	le	DETdef	NOMB.=s|GENRE=f
pente	pente	NOMcom	NOMB.=s|GENRE=f
du	de_le	PRE.DETdef	NOMB.=s|GENRE=m
chemin	chemin	NOMcom	NOMB.=s|GENRE=m
,	,	PONfbl	MORPH=empty
