form	lemma	POS	morph
S	il	PROper	PERS.=3|NOMB.=s|GENRE=n|CAS=r
ensuyt	ensuivre	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
la	le	DETdef	NOMB.=s|GENRE=f
tres	très	ADVgen	MORPH=empty
louable	louable	ADJqua	NOMB.=s|GENRE=f
et	et	CONcoo	MORPH=empty
recõmandable	recommandable	ADJqua	NOMB.=s|GENRE=f
uie	vie	NOMcom	NOMB.=s|GENRE=f
auecq̃s	avec	PRE	MORPH=empty
les	le	DETdef	NOMB.=p|GENRE=m
miracles	miracle	NOMcom	NOMB.=p|GENRE=m
de	de	PRE	MORPH=empty
mon	mon	DETpos	PERS.=1|NOMB.=s|GENRE=m
seigneur	seigneur	NOMcom	NOMB.=s|GENRE=m
sainct	saint	ADJqua	NOMB.=s|GENRE=m
martin	Martin	NOMpro	NOMB.=s|GENRE=m
translatee	translater	VERppe	NOMB.=s|GENRE=f
de	de	PRE	MORPH=empty
latin	latin	NOMcom	NOMB.=s|GENRE=m
en	en	PRE	MORPH=empty
francoys	français	NOMcom	NOMB.=s|GENRE=m
.	.	PONfrt	MORPH=empty
Sit	@latin	OUT	MORPH=empty
trinitati	@latin	OUT	MORPH=empty
gloria	@latin	OUT	MORPH=empty
martinus	@latin	OUT	MORPH=empty
ut	@latin	OUT	MORPH=empty
confessus	@latin	OUT	MORPH=empty
est	@latin	OUT	MORPH=empty
GLoire	gloire	NOMcom	NOMB.=s|GENRE=f
et	et	CONcoo	MORPH=empty
hõneur	honneur	NOMcom	NOMB.=s|GENRE=m
pardurable	perdurable	ADJqua	NOMB.=s|GENRE=m
soit	être	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s
la	le	DETdef	NOMB.=s|GENRE=f
celeste	céleste	ADJqua	NOMB.=s|GENRE=f
trinite	trinité	NOMcom	NOMB.=s|GENRE=f
;	;	PONfbl	MORPH=empty
ung	un	DETndf	NOMB.=s|GENRE=m
dieu	dieu	NOMcom	NOMB.=s|GENRE=m
en	en	PRE	MORPH=empty
troys	trois	DETcar	NOMB.=p|GENRE=f
personnes	personne	NOMcom	NOMB.=p|GENRE=f
;	;	PONfbl	MORPH=empty
et	et	CONcoo	MORPH=empty
ce	ce	DETdem	NOMB.=s|GENRE=m
petit	petit	ADJqua	NOMB.=s|GENRE=m
euure	œuvre	NOMcom	NOMB.=s|GENRE=m
aggreable	agréable	ADJqua	NOMB.=s|GENRE=m
se	si	CONsub	MORPH=empty
ingratitude	ingratitude	NOMcom	NOMB.=s|GENRE=f
est	être	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
a	à	PRE	MORPH=empty
fuyr	fuir	VERinf	MORPH=empty
et	et	CONcoo	MORPH=empty
enfuyr	enfuir	VERinf	MORPH=empty
recognoissance	reconnaissance	NOMcom	NOMB.=s|GENRE=f
,	,	PONfbl	MORPH=empty
est	être	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
bien	bien	ADVgen	MORPH=empty
raison	raison	NOMcom	NOMB.=s|GENRE=f
q̃	que	CONsub	MORPH=empty
ie	je	PROper	PERS.=1|NOMB.=s|GENRE=x|CAS=n
mette	mettre	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s
uigueur	vigueur	NOMcom	NOMB.=s|GENRE=f
et	et	CONcoo	MORPH=empty
force	force	NOMcom	NOMB.=s|GENRE=f
a	à	PRE	MORPH=empty
faire	faire	VERinf	MORPH=empty
quelque	quelque	DETind	NOMB.=s|GENRE=m
seruice	service	NOMcom	NOMB.=s|GENRE=m
a	à	PRE	MORPH=empty
celui	celui	PROdem	NOMB.=s|GENRE=m
qͥ	qui	PROrel	NOMB.=s|GENRE=m
par	par	PRE	MORPH=empty
tant	tant	ADVgen	MORPH=empty
de	de	PRE	MORPH=empty
fois	fois	NOMcom	NOMB.=p|GENRE=f
m	je	PROper	PERS.=1|NOMB.=s|GENRE=x|CAS=r
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
aide	aider	VERppe	NOMB.=s|GENRE=m
et	et	CONcoo	MORPH=empty
secouru	secourir	VERppe	NOMB.=s|GENRE=m
en	en	PRE	MORPH=empty
mes	mon	DETpos	PERS.=1|NOMB.=p|GENRE=f
necessitez	nécessité	NOMcom	NOMB.=p|GENRE=f
C	ce	PROdem	NOMB.=s|GENRE=n
est	être	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
au	à_le	PRE.DETdef	NOMB.=s|GENRE=m
pasteur	pasteur	NOMcom	NOMB.=s|GENRE=m
de	de	PRE	MORPH=empty
rectitude	rectitude	NOMcom	NOMB.=s|GENRE=f
,	,	PONfbl	MORPH=empty
mirouer	miroir	NOMcom	NOMB.=s|GENRE=m
des	de_le	PRE.DETdef	NOMB.=p|GENRE=m
euesq̃s	évêque	NOMcom	NOMB.=p|GENRE=m
,	,	PONfbl	MORPH=empty
archeuesq̃s	archevêque	NOMcom	NOMB.=p|GENRE=m
et	et	CONcoo	MORPH=empty
patriarches	patriarche	NOMcom	NOMB.=p|GENRE=m
moseigñr	monseigneur	NOMcom	NOMB.=s|GENRE=m
saint	saint	ADJqua	NOMB.=s|GENRE=m
martin	Martin	NOMpro	NOMB.=s|GENRE=m
arceuesque	archevêque	NOMcom	NOMB.=s|GENRE=m
de	de	PRE	MORPH=empty
Tours	Tours	NOMpro	NOMB.=s|GENRE=x
;	;	PONfbl	MORPH=empty
remply	remplir	VERppe	NOMB.=s|GENRE=m
de	de	PRE	MORPH=empty
beatitude	béatitude	NOMcom	NOMB.=s|GENRE=f
.	.	PONfrt	MORPH=empty
du	de_le	PRE.DETdef	NOMB.=s|GENRE=m
q̃l	quel	PROrel	NOMB.=s|GENRE=m
selon	selon	PRE	MORPH=empty
la	le	DETdef	NOMB.=s|GENRE=f
petitesse	petitesse	NOMcom	NOMB.=s|GENRE=f
de	de	PRE	MORPH=empty
mõ	mon	DETpos	PERS.=1|NOMB.=s|GENRE=m
engin	engin	NOMcom	NOMB.=s|GENRE=m
ueil	vouloir	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s
descripre	décrire	VERinf	MORPH=empty
la	le	DETdef	NOMB.=s|GENRE=f
haultesse	hautesse	NOMcom	NOMB.=s|GENRE=f
de	de	PRE	MORPH=empty
sa	son	DETpos	PERS.=3|NOMB.=s|GENRE=f
uie	vie	NOMcom	NOMB.=s|GENRE=f
;	;	PONfbl	MORPH=empty
et	et	CONcoo	MORPH=empty
les	le	DETdef	NOMB.=p|GENRE=m
miracles	miracle	NOMcom	NOMB.=p|GENRE=m
qu	que	PROrel	NOMB.=p|GENRE=m
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
faiz	faire	VERppe	NOMB.=p|GENRE=m
,	,	PONfbl	MORPH=empty
tãt	tant	CONsub	MORPH=empty
en	en	PRE	MORPH=empty
sa	son	DETpos	PERS.=3|NOMB.=s|GENRE=f
uie	vie	NOMcom	NOMB.=s|GENRE=f
q̃	que	CONsub	MORPH=empty
apres	après	PRE	MORPH=empty
sa	son	DETpos	PERS.=3|NOMB.=s|GENRE=f
mort	mort	NOMcom	NOMB.=s|GENRE=f
;	;	PONfbl	MORPH=empty
ainsi	ainsi	ADVgen	MORPH=empty
qu	que	CONsub	MORPH=empty
il	il	PROper	PERS.=3|NOMB.=s|GENRE=n|CAS=n
est	être	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
trouue	trouver	VERppe	NOMB.=s|GENRE=n
de	de	PRE	MORPH=empty
ceulx	celui	PROdem	NOMB.=p|GENRE=m
qui	qui	PROrel	NOMB.=p|GENRE=m
de	de	PRE	MORPH=empty
lui	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=i
ont	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
escript	écrire	VERppe	NOMB.=p|GENRE=m
.	.	PONfrt	MORPH=empty
Et	et	CONcoo	MORPH=empty
sachez	savoir	VERcjg	MODE=imp|PERS.=2|NOMB.=p
que	que	CONsub	MORPH=empty
riens	rien	PROind	NOMB.=s|GENRE=n
n	ne	ADVneg	MORPH=empty
y	y	PROadv	MORPH=empty
uueil	vouloir	VERcjg	MODE=sub|TEMPS=pst|PERS.=1|NOMB.=s
mettre	mettre	VERinf	MORPH=empty
du	de_le	PRE.DETdef	NOMB.=s|GENRE=m
mien	mien	PROpos	PERS.=1|NOMB.=s|GENRE=m
,	,	PONfbl	MORPH=empty
mais	mais	CONcoo	MORPH=empty
ensuir	ensuivre	VERinf	MORPH=empty
la	le	DETdef	NOMB.=s|GENRE=f
lettre	lettre	NOMcom	NOMB.=s|GENRE=f
des	de_le	PRE.DETdef	NOMB.=p|GENRE=m
peres	père	NOMcom	NOMB.=p|GENRE=m
et	et	CONcoo	MORPH=empty
clers	clerc	NOMcom	NOMB.=p|GENRE=m
anciẽs	ancien	ADJqua	NOMB.=p|GENRE=m
de	de	PRE	MORPH=empty
ses	son	DETpos	PERS.=3|NOMB.=p|GENRE=m
faiz	fait	NOMcom	NOMB.=p|GENRE=m
.	.	PONfrt	MORPH=empty
et	et	CONcoo	MORPH=empty
cõme	comme	CONsub	MORPH=empty
ainsi	ainsi	ADVgen	MORPH=empty
