form	lemma	POS	morph
AVIS	avis	NOMcom	NOMB.=s|GENRE=m
DE	de	PRE	MORPH=empty
L'	le	DETdef	NOMB.=s|GENRE=m
ÉDITEUR	éditeur	NOMcom	NOMB.=s|GENRE=m
.	.	PONfrt	MORPH=empty
MONSIEUR	monsieur	NOMcom	NOMB.=s|GENRE=m
de	de	PRE	MORPH=empty
Monteſquieu	Montesquieu	NOMpro	NOMB.=s|GENRE=m
avoit	avoir	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s
pris	prendre	VERppe	NOMB.=s|GENRE=m
bien	bien	ADVgen	MORPH=empty
de	de	PRE	MORPH=empty
la	le	DETdef	NOMB.=s|GENRE=f
peine	peine	NOMcom	NOMB.=s|GENRE=f
pour	pour	PRE	MORPH=empty
poſer	poser	VERinf	MORPH=empty
des	un	DETndf	NOMB.=p|GENRE=f
bornes	borne	NOMcom	NOMB.=p|GENRE=f
entre	entre	PRE	MORPH=empty
le	le	DETdef	NOMB.=s|GENRE=m
Deſpotiſme	despotisme	NOMpro	NOMB.=s|GENRE=m
&	et	CONcoo	MORPH=empty
la	le	DETdef	NOMB.=s|GENRE=f
Monarchie	monarchie	NOMpro	NOMB.=s|GENRE=f
tempérée	tempérer	VERppe	NOMB.=s|GENRE=f
,	,	PONfbl	MORPH=empty
qui	qui	PROrel	MORPH=empty
lui	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=i
ſembloit	sembler	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s
le	le	DETdef	NOMB.=s|GENRE=m
Gouvernement	gouvernement	NOMpro	NOMB.=s|GENRE=m
naturel	naturel	ADJqua	NOMB.=s|GENRE=m
des	de_le	PRE.DETdef	NOMB.=p|GENRE=m
François	français	NOMpro	NOMB.=p|GENRE=m
;	;	PONfbl	MORPH=empty
mais	mais	CONcoo	MORPH=empty
comme	comme	CONsub	MORPH=empty
il	il	PROimp	PERS.=3|NOMB.=s|GENRE=x|CAS=n
eſt	être	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
toujours	toujours	ADVgen	MORPH=empty
fort	fort	ADVgen	MORPH=empty
dangereux	dangereux	ADJqua	NOMB.=s|GENRE=m
que	que	CONsub	MORPH=empty
la	le	DETdef	NOMB.=s|GENRE=f
Monarchie	monarchie	NOMpro	NOMB.=s|GENRE=f
ne	ne	ADVneg	MORPH=empty
tourne	tourner	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s
en	en	PRE	MORPH=empty
Deſpotiſme	despotisme	NOMpro	NOMB.=s|GENRE=m
,	,	PONfbl	MORPH=empty
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
auroit	avoir	VERcjg	MODE=con|PERS.=3|NOMB.=s
voulu	vouloir	VERppe	NOMB.=s|GENRE=m
,	,	PONfbl	MORPH=empty
s’	si	CONsub	MORPH=empty
il	il	PROimp	PERS.=3|NOMB.=s|GENRE=x|CAS=n
eût	avoir	VERcjg	MODE=sub|TEMPS=ipf|PERS.=3|NOMB.=s
été	être	VERppe	NOMB.=s|GENRE=m
poſſible	possible	ADJqua	NOMB.=s|GENRE=m
,	,	PONfbl	MORPH=empty
rendre	rendre	VERinf	MORPH=empty
le	le	DETdef	NOMB.=s|GENRE=m
Deſpotiſme	despotisme	NOMpro	NOMB.=s|GENRE=m
même	même	ADJind	NOMB.=s|GENRE=m
utile	utile	ADJqua	NOMB.=s|GENRE=m
.	.	PONfrt	MORPH=empty
Dans	dans	PRE	MORPH=empty
cette	ce	DETdem	NOMB.=s|GENRE=f
vue	vue	NOMcom	NOMB.=s|GENRE=f
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
tracé	tracer	VERppe	NOMB.=s|GENRE=m
la	le	DETdef	NOMB.=s|GENRE=f
peinture	peinture	NOMcom	NOMB.=s|GENRE=f
la	le	DETdef	NOMB.=s|GENRE=f
plus	plus	ADVgen	MORPH=empty
riante	rire	VERppa	NOMB.=s|GENRE=f
d'	de	PRE	MORPH=empty
un	un	DETndf	NOMB.=s|GENRE=m
Deſpote	despote	NOMpro	NOMB.=s|GENRE=m
qui	qui	PROrel	MORPH=empty
rend	rendre	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
ſes	son	DETpos	PERS.=3|NOMB.=s|GENRE=m
peuples	peuple	NOMcom	NOMB.=p|GENRE=m
heureux	heureux	ADJqua	NOMB.=p|GENRE=m
:	:	PONfbl	MORPH=empty
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
s'	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
eſt	être	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
peut-être	peut-être	ADVgen	MORPH=empty
flatté	flatter	VERppe	NOMB.=s|GENRE=m
qu’	que	CONsub	MORPH=empty
un	un	DETndf	NOMB.=s|GENRE=m
jour	jour	NOMcom	NOMB.=s|GENRE=m
,	,	PONfbl	MORPH=empty
en	en	PRE	MORPH=empty
liſant	lire	VERppa	NOMB.=x|GENRE=x
ſon	son	DETpos	PERS.=3|NOMB.=s|GENRE=m
ouvrage	ouvrage	NOMcom	NOMB.=s|GENRE=m
,	,	PONfbl	MORPH=empty
un	un	DETndf	NOMB.=s|GENRE=m
Prince	prince	NOMpro	NOMB.=s|GENRE=m
,	,	PONfbl	MORPH=empty
une	un	DETndf	NOMB.=s|GENRE=f
Reine	reine	NOMpro	NOMB.=s|GENRE=f
,	,	PONfbl	MORPH=empty
un	un	DETndf	NOMB.=s|GENRE=m
Miniſtre	ministre	NOMpro	NOMB.=s|GENRE=m
,	,	PONfbl	MORPH=empty
deſireroient	désirer	VERcjg	MODE=con|PERS.=3|NOMB.=p
de	de	PRE	MORPH=empty
reſſembler	ressembler	VERinf	MORPH=empty
à	à	PRE	MORPH=empty
Arſace	Arsace	NOMpro	NOMB.=s|GENRE=m
,	,	PONfbl	MORPH=empty
à	à	PRE	MORPH=empty
Iſménie	Isménie	NOMpro	NOMB.=s|GENRE=f
ou	ou	CONcoo	MORPH=empty
à	à	PRE	MORPH=empty
Aſpar	Aspar	NOMpro	NOMB.=s|GENRE=m
,	,	PONfbl	MORPH=empty
ou	ou	CONcoo	MORPH=empty
d’	de	PRE	MORPH=empty
être	être	VERinf	MORPH=empty
eux	il	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=i
