form	lemma	POS	morph
S	il	PROper	PERS.=0|NOMB.=s|GENRE=n|CAS=r
ensuit	ensuivre	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
les	le	DETdef	NOMB.=p|GENRE=m
apologues	apologue	NOMcom	NOMB.=p|GENRE=m
de	de	PRE	MORPH=empty
Laurentius	@latin	OUT	MORPH=empty
ualla	@latin	OUT	MORPH=empty
et	et	CONcoo	MORPH=empty
cõmence	commencer	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
le	le	DETdef	NOMB.=s|GENRE=m
prologue	prologue	NOMcom	NOMB.=s|GENRE=m
de	de	PRE	MORPH=empty
l	le	DETdef	NOMB.=s|GENRE=m
acteur	acteur	NOMcom	NOMB.=s|GENRE=m
en	en	PRE	MORPH=empty
latin	latin	NOMcom	NOMB.=s|GENRE=m
.	.	PONfrt	MORPH=empty
Laurentius	@latin	OUT	MORPH=empty
ualla	@latin	OUT	MORPH=empty
.	.	PONfrt	MORPH=empty
LAurens	Laurent	NOMpro	NOMB.=s|GENRE=m
ualle	Valle	NOMpro	NOMB.=s|GENRE=x
desire	désirer	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
salut	salut	NOMcom	NOMB.=s|GENRE=m
et	et	CONcoo	MORPH=empty
prosperite	prospérité	NOMcom	NOMB.=s|GENRE=f
a	à	PRE	MORPH=empty
noble	noble	ADJqua	NOMB.=s|GENRE=m
hõme	homme	NOMcom	NOMB.=s|GENRE=m
arnoul	Arnoul	NOMpro	NOMB.=s|GENRE=m
de	de	PRE	MORPH=empty
fouelle	Fouelle	NOMpro	NOMB.=s|GENRE=x
son	son	DETpos	PERS.=3|NOMB.=s|GENRE=m
chier	cher	ADJqua	NOMB.=s|GENRE=m
et	et	CONcoo	MORPH=empty
singulier	singulier	ADJqua	NOMB.=s|GENRE=m
amy	ami	NOMcom	NOMB.=s|GENRE=m
.	.	PONfrt	MORPH=empty
Tres	très	ADVgen	MORPH=empty
chier	cher	ADJqua	NOMB.=s|GENRE=m
et	et	CONcoo	MORPH=empty
feal	féal	ADJqua	NOMB.=s|GENRE=m
amy	ami	NOMcom	NOMB.=s|GENRE=m
;	;	PONfbl	MORPH=empty
Je	je	PROper	PERS.=1|NOMB.=s|GENRE=x|CAS=n
te	tu	PROper	PERS.=2|NOMB.=s|GENRE=x|CAS=r
auoye	avoir	VERcjg	MODE=ind|TEMPS=ipf|PERS.=1|NOMB.=s
n	ne	ADVneg	MORPH=empty
a	à	PRE	MORPH=empty
pas	pas	ADVneg	MORPH=empty
longtemps	longtemps	ADVgen	MORPH=empty
promis	promettre	VERppe	NOMB.=s|GENRE=x
enuoyer	envoyer	VERinf	MORPH=empty
certaines	certain	DETind	NOMB.=s|GENRE=f
cailles	caille	NOMcom	NOMB.=p|GENRE=f
et	et	CONcoo	MORPH=empty
oyseaux	oiseau	NOMcom	NOMB.=p|GENRE=m
lesq̃lz	lequel	PROrel	NOMB.=p|GENRE=m
ie	je	PROper	PERS.=1|NOMB.=s|GENRE=x|CAS=n
esperoye	espérer	VERcjg	MODE=ind|TEMPS=ipf|PERS.=1|NOMB.=s
prendre	prendre	VERinf	MORPH=empty
en	en	PRE	MORPH=empty
passant	passer	VERppa	NOMB.=s|GENRE=x
temps	temps	NOMcom	NOMB.=s|GENRE=m
a	à	PRE	MORPH=empty
la	le	DETdef	NOMB.=s|GENRE=f
chasse	chasse	NOMcom	NOMB.=s|GENRE=f
.	.	PONfrt	MORPH=empty
Mais	mais	CONcoo	MORPH=empty
pour	pour	PRE	MORPH=empty
ce	ce	PROdem	NOMB.=s|GENRE=n
que	que	PROrel	NOMB.=s|GENRE=n
ie	je	PROper	PERS.=1|NOMB.=s|GENRE=x|CAS=n
suis	être	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
por	pour	PRE	MORPH=empty
le	le	DETdef	NOMB.=s|GENRE=m
present	présent	NOMcom	NOMB.=s|GENRE=m
hõme	homme	NOMcom	NOMB.=s|GENRE=m
mal	mal	ADVgen	MORPH=empty
ĩstruit	instruire	VERppe	NOMB.=s|GENRE=m
en	en	PRE	MORPH=empty
fait	fait	NOMcom	NOMB.=s|GENRE=m
de	de	PRE	MORPH=empty
chasse	chasse	NOMcom	NOMB.=s|GENRE=f
et	et	CONcoo	MORPH=empty
de	de	PRE	MORPH=empty
gibier	gibier	NOMcom	NOMB.=s|GENRE=m
;	;	PONfbl	MORPH=empty
et	et	CONcoo	MORPH=empty
que	que	CONsub	MORPH=empty
suis	être	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
du	de_le	PRE.DETdef	NOMB.=s|GENRE=m
tout	tout	PROind	NOMB.=s|GENRE=m
desacoustume	désaccoutumer	VERppe	NOMB.=s|GENRE=x
de	de	PRE	MORPH=empty
l	le	DETdef	NOMB.=s|GENRE=m
usaige	usage	NOMcom	NOMB.=s|GENRE=m
et	et	CONcoo	MORPH=empty
industrie	industrie	NOMcom	NOMB.=s|GENRE=f
de	de	PRE	MORPH=empty
la	le	DETdef	NOMB.=s|GENRE=f
dicte	dire	VERppe	NOMB.=s|GENRE=f
chasse	chasse	NOMcom	NOMB.=s|GENRE=f
.	.	PONfrt	MORPH=empty
A	à	PRE	NOMB.=s
ces	ce	DETdem	NOMB.=s|GENRE=f
causes	cause	NOMcom	NOMB.=s|GENRE=f
n	ne	ADVneg	MORPH=empty
ay	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
sceu	savoir	VERppe	NOMB.=s|GENRE=x
prẽdre	prendre	VERinf	MORPH=empty
les	le	DETdef	NOMB.=p|GENRE=f
dictes	dire	VERppe	NOMB.=p|GENRE=f
cailles	caille	NOMcom	NOMB.=p|GENRE=f
;	;	PONfbl	MORPH=empty
et	et	CONcoo	MORPH=empty
me	je	PROper	PERS.=1|NOMB.=s|GENRE=x|CAS=r
suis	être	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
transffere	transférer	VERppe	NOMB.=s|GENRE=x
et	et	CONcoo	MORPH=empty
transporte	transporter	VERppe	NOMB.=s|GENRE=x
a	à	PRE	MORPH=empty
chasser	chasser	VERinf	MORPH=empty
