form	lemma	POS	morph
et	et	CONcoo	MORPH=empty
acõplis	accomplir	VERppe	NOMB.=p|GENRE=m
.	.	PONfrt	MORPH=empty
Et	et	CONcoo	MORPH=empty
cecy	ceci	PROdem	NOMB.=s|GENRE=n
disant	dire	VERppa	NOMB.=s|GENRE=m
et	et	CONcoo	MORPH=empty
pensant	penser	VERppa	NOMB.=s|GENRE=m
s	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
esioyssoit	éjouir	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s
son	son	DETpos	PERS.=3|NOMB.=s|GENRE=m
cueur	cœur	NOMcom	NOMB.=s|GENRE=m
iubiloit	jubiler	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s
,	,	PONfbl	MORPH=empty
en	en	PRE	MORPH=empty
son	son	DETpos	PERS.=3|NOMB.=s|GENRE=m
courage	courage	NOMcom	NOMB.=s|GENRE=m
se	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
deuisoit	deviser	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s
et	et	CONcoo	MORPH=empty
deduisoit	déduire	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s
et	et	CONcoo	MORPH=empty
par	par	PRE	MORPH=empty
exces	excès	NOMcom	NOMB.=s|GENRE=m
de	de	PRE	MORPH=empty
soulas	soulas	NOMcom	NOMB.=s|GENRE=m
disoit	dire	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s
Super	@latin	OUT	MORPH=empty
salutẽ	@latin	OUT	MORPH=empty
et	@latin	OUT	MORPH=empty
omnẽ	@latin	OUT	MORPH=empty
pulcritudinem	@latin	OUT	MORPH=empty
dilexi	@latin	OUT	MORPH=empty
sapienciã	@latin	OUT	MORPH=empty
et	@latin	OUT	MORPH=empty
proposui	@latin	OUT	MORPH=empty
pro	@latin	OUT	MORPH=empty
luce	@latin	OUT	MORPH=empty
habere	@latin	OUT	MORPH=empty
illam	@latin	OUT	MORPH=empty
.	.	PONfrt	MORPH=empty
