form	lemma	POS	morph
Voici	voici	VERcjg	MODE=ind|TEMPS=pst|PERS.=x|NOMB.=x
un	un	DETndf	NOMB.=s|GENRE=m
petit	petit	ADJqua	NOMB.=s|GENRE=m
conte	conte	NOMcom	NOMB.=s|GENRE=m
indien	indien	ADJqua	NOMB.=s|GENRE=m
qui	qui	PROrel	MORPH=empty
renferme	renfermer	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
plus	plus	ADVgen	MORPH=empty
de	de	PRE	MORPH=empty
vérités	vérité	NOMcom	NOMB.=p|GENRE=f
que	que	CONsub	MORPH=empty
bien	bien	ADVgen	MORPH=empty
des	un	DETndf	NOMB.=p|GENRE=f
histoires	histoire	NOMcom	NOMB.=p|GENRE=f
.	.	PONfrt	MORPH=empty
Je	je	PROper	PERS.=1|NOMB.=s|GENRE=x|CAS=n
l’	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
avois	avoir	VERcjg	MODE=ind|TEMPS=ipf|PERS.=1|NOMB.=s
destiné	destiner	VERppe	NOMB.=s|GENRE=m
à	à	PRE	MORPH=empty
augmenter	augmenter	VERinf	MORPH=empty
la	le	DETdef	NOMB.=s|GENRE=f
relation	relation	NOMcom	NOMB.=s|GENRE=f
d’	de	PRE	MORPH=empty
un	un	DETndf	NOMB.=s|GENRE=m
voyage	voyage	NOMcom	NOMB.=s|GENRE=m
à	à	PRE	MORPH=empty
l’	le	DETdef	NOMB.=s|GENRE=f
Ile	île	NOMpro	NOMB.=s|GENRE=f
de	de	PRE	MORPH=empty
France	France	NOMpro	NOMB.=s|GENRE=f
,	,	PONfbl	MORPH=empty
publiée	publier	VERppe	NOMB.=s|GENRE=f
en	en	PRE	MORPH=empty
1773	1773	PROcar	MORPH=empty
,	,	PONfbl	MORPH=empty
et	et	CONcoo	MORPH=empty
que	que	PROrel	MORPH=empty
je	je	PROper	PERS.=1|NOMB.=s|GENRE=x|CAS=n
me	je	PROper	PERS.=1|NOMB.=s|GENRE=x|CAS=r
propose	proposer	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
de	de	PRE	MORPH=empty
faire	faire	VERinf	MORPH=empty
réimprimer	réimprimer	VERinf	MORPH=empty
avec	avec	PRE	MORPH=empty
des	un	DETndf	NOMB.=p|GENRE=f
additions	addition	NOMcom	NOMB.=p|GENRE=f
.	.	PONfrt	MORPH=empty
Comme	comme	CONsub	MORPH=empty
j’	je	PROper	PERS.=1|NOMB.=s|GENRE=x|CAS=n
y	y	PROadv	MORPH=empty
parle	parler	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
des	de_le	DETndf	NOMB.=p|GENRE=m
Indiens	indien	NOMpro	NOMB.=p|GENRE=m
qui	qui	PROrel	MORPH=empty
sont	être	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
dans	dans	PRE	MORPH=empty
cette	ce	DETdem	NOMB.=s|GENRE=f
île	île	NOMcom	NOMB.=s|GENRE=f
,	,	PONfbl	MORPH=empty
j’	je	PROper	PERS.=1|NOMB.=s|GENRE=x|CAS=n
avois	avoir	VERcjg	MODE=ind|TEMPS=ipf|PERS.=1|NOMB.=s
voulu	vouloir	VERppe	NOMB.=s|GENRE=m
y	y	PROadv	MORPH=empty
joindre	joindre	VERinf	MORPH=empty
un	un	DETndf	NOMB.=s|GENRE=m
tableau	tableau	NOMcom	NOMB.=s|GENRE=m
des	de_le	PRE.DETdef	NOMB.=p|GENRE=f
mœurs	mœurs	NOMcom	NOMB.=p|GENRE=f
de	de	PRE	MORPH=empty
ceux	celui	PROdem	NOMB.=p|GENRE=m
qui	qui	PROrel	MORPH=empty
sont	être	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
dans	dans	PRE	MORPH=empty
l’	le	DETdef	NOMB.=s|GENRE=f
Inde	Inde	NOMpro	NOMB.=s|GENRE=f
,	,	PONfbl	MORPH=empty
d’	de	PRE	MORPH=empty
après	après	PRE	MORPH=empty
des	un	DETndf	NOMB.=p|GENRE=f
notes	note	NOMcom	NOMB.=p|GENRE=f
assez	assez	ADVgen	MORPH=empty
intéressantes	intéresser	VERppa	NOMB.=p|GENRE=f
que	que	CONsub	MORPH=empty
je	je	PROper	PERS.=1|NOMB.=s|GENRE=x|CAS=n
m’	je	PROper	PERS.=1|NOMB.=s|GENRE=x|CAS=r
étois	être	VERcjg	MODE=ind|TEMPS=ipf|PERS.=1|NOMB.=s
procurées	procurer	VERppe	NOMB.=p|GENRE=f
.	.	PONfrt	MORPH=empty
J’	je	PROper	PERS.=1|NOMB.=s|GENRE=x|CAS=n
en	en	PROadv	MORPH=empty
avois	avoir	VERcjg	MODE=ind|TEMPS=ipf|PERS.=1|NOMB.=s
donc	donc	ADVgen	MORPH=empty
formé	former	VERppe	NOMB.=s|GENRE=m
un	un	DETndf	NOMB.=s|GENRE=m
épisode	épisode	NOMcom	NOMB.=s|GENRE=m
que	que	PROrel	MORPH=empty
j’	je	PROper	PERS.=1|NOMB.=s|GENRE=x|CAS=n
avois	avoir	VERcjg	MODE=ind|TEMPS=ipf|PERS.=1|NOMB.=s
lié	lier	VERppe	NOMB.=s|GENRE=m
à	à	PRE	MORPH=empty
une	un	DETndf	NOMB.=s|GENRE=f
anecdocte	anecdote	NOMcom	NOMB.=s|GENRE=f
historique	historique	ADJqua	NOMB.=s|GENRE=f
qui	qui	PROrel	MORPH=empty
en	en	PROadv	MORPH=empty
fait	faire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
le	le	DETdef	NOMB.=s|GENRE=m
commencement	commencement	NOMcom	NOMB.=s|GENRE=m
.	.	PONfrt	MORPH=empty
C'	ce	PROdem	NOMB.=s|GENRE=n
est	être	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
à	à	PRE	MORPH=empty
l’	le	DETdef	NOMB.=s|GENRE=f
occasion	occasion	NOMcom	NOMB.=s|GENRE=f
d’	de	PRE	MORPH=empty
une	un	DETndf	NOMB.=s|GENRE=f
