form	lemma	POS	morph
Enſuyuent	ensuivre	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
pluſieurs	plusieurs	DETind	NOMB.=p|GENRE=m
menus	menu	ADJqua	NOMB.=p|GENRE=m
propos	propos	NOMcom	NOMB.=p|GENRE=m
moraulx	moral	ADJqua	NOMB.=p|GENRE=m
et	et	CONcoo	MORPH=empty
ioyeulx	joyeux	ADJqua	NOMB.=p|GENRE=m
O	ô	INJ	MORPH=empty
Treſ	très	ADVgen	MORPH=empty
illuſtre	illustre	ADJqua	NOMB.=s|GENRE=m
et	et	CONcoo	MORPH=empty
hault	haut	ADJqua	NOMB.=s|GENRE=m
prince	prince	NOMcom	NOMB.=s|GENRE=m
excellent	excellent	ADJqua	NOMB.=s|GENRE=m
Triumphateur	triomphateur	NOMpro	NOMB.=s|GENRE=m
de	de	PRE	MORPH=empty
paix	paix	NOMcom	NOMB.=s|GENRE=f
beniuolent	bénévolent	ADJqua	NOMB.=s|GENRE=m
Treſobey	tresobey	NOMpro	NOMB.=s
en	en	PRE	MORPH=empty
ton	ton	DETpos	PERS.=2|NOMB.=s|GENRE=m
noble	noble	ADJqua	NOMB.=s|GENRE=m
dommaine	domaine	NOMcom	NOMB.=s|GENRE=m
Anthoine	Antoine	NOMpro	NOMB.=s|GENRE=m
duc	duc	NOMcom	NOMB.=s|GENRE=m
de	de	PRE	MORPH=empty
Calabre	Calabre	NOMpro	NOMB.=s|GENRE=f
et	et	CONcoo	MORPH=empty
Lorraine	Lorraine	NOMpro	NOMB.=s|GENRE=f
Auſſi	aussi	ADVgen	MORPH=empty
de	de	PRE	MORPH=empty
Bar	Bar	NOMpro	NOMB.=s|GENRE=x
marchis	marquis	NOMcom	NOMB.=s|GENRE=m
marquis	marquis	NOMcom	NOMB.=s|GENRE=m
du	de_le	PRE.DETdef	NOMB.=s|GENRE=m
Pont	Pont	NOMpro	NOMB.=s|GENRE=m
Et	et	CONcoo	MORPH=empty
de	de	PRE	MORPH=empty
Prouence	Provence	NOMpro	NOMB.=s|GENRE=f
auecques	avec	PRE	MORPH=empty
Vaudemont	Vaudémont	NOMpro	NOMB.=s|GENRE=x
Conte	conte	NOMcom	NOMB.=s|GENRE=m
et	et	CONcoo	MORPH=empty
ſeigneur	seigneur	NOMcom	NOMB.=s|GENRE=m
prens	prendre	VERcjg	MODE=imp|PERS.=2|NOMB.=s
en	en	PRE	MORPH=empty
gre	gré	NOMcom	NOMB.=s|GENRE=m
ceſte	ce	DETdem	NOMB.=s|GENRE=f
hyſtoire	histoire	NOMcom	NOMB.=s|GENRE=f
De	de	PRE	MORPH=empty
ton	ton	DETpos	PERS.=2|NOMB.=s|GENRE=m
herault	héraut	NOMcom	NOMB.=s|GENRE=m
nomme	nommer	VERppe	NOMB.=s|GENRE=m
Pierre	Pierre	NOMpro	NOMB.=s|GENRE=m
Gringoire	Gringoire	NOMpro	NOMB.=s|GENRE=x
Dit	dire	VERppe	NOMB.=s|GENRE=m
Vaudemont	Vaudémont	NOMpro	NOMB.=s|GENRE=x
petit	petit	ADJqua	NOMB.=s|GENRE=m
preſent	présent	NOMcom	NOMB.=s|GENRE=m
te	tu	PROper	PERS.=2|NOMB.=s|GENRE=x|CAS=r
faict	faire	VERinf	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
Conſiderant	considérer	VERppa	NOMB.=s|GENRE=m
quil	que_il	CONsub.PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
n	ne	ADVneg	MORPH=empty
eſt	être	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
homme	homme	NOMcom	NOMB.=s|GENRE=m
parfaict	parfait	ADJqua	NOMB.=s|GENRE=m
C			
