form	lemma	POS	morph
AUX	à_le	PRE.DETdef	NOMB.=p|GENRE=m
LISEURS	liseur	NOMcom	NOMB.=p|GENRE=m
.	.	PONfrt	MORPH=empty
Ne	ne	ADVneg	MORPH=empty
pensez	penser	VERcjg	MODE=ind|TEMPS=pst|PERS.=2|NOMB.=p
,	,	PONfbl	MORPH=empty
debonnaires	débonnaire	ADJqua	NOMB.=p|GENRE=m
liseurs	liseur	NOMcom	NOMB.=p|GENRE=m
,	,	PONfbl	MORPH=empty
qu’	que	CONsub	MORPH=empty
à	à	PRE	MORPH=empty
tort	tort	NOMcom	NOMB.=s|GENRE=m
ce	ce	DETdem	NOMB.=s|GENRE=m
proverbe	proverbe	NOMcom	NOMB.=s|GENRE=m
roule	rouler	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s
parmy	parmi	PRE	MORPH=empty
nous	nous	PROper	PERS.=1|NOMB.=p|GENRE=x|CAS=r
,	,	PONfbl	MORPH=empty
que	que	CONsub	MORPH=empty
qui	qui	PROrel	NOMB.=s|GENRE=x
refuse	refuser	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
après	après	PRE	MORPH=empty
muse	muser	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
:	:	PONfbl	MORPH=empty
Si	si	CONsub	MORPH=empty
vous	vous	PROper	PERS.=2|NOMB.=p|GENRE=x|CAS=n
en	en	PROadv	MORPH=empty
doutez	douter	VERcjg	MODE=ind|TEMPS=pst|PERS.=2|NOMB.=p
,	,	PONfbl	MORPH=empty
il	il	PROimp	PERS.=0|NOMB.=s|GENRE=n|CAS=n
ne	ne	ADVneg	MORPH=empty
vous	vous	PROper	PERS.=2|NOMB.=p|GENRE=x|CAS=i
faut	falloir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
venir	venir	VERinf	MORPH=empty
que	que	CONsub	MORPH=empty
vers	vers	PRE	MORPH=empty
moy	je	PROper	PERS.=1|NOMB.=s|GENRE=x|CAS=i
,	,	PONfbl	MORPH=empty
je	je	PROper	PERS.=1|NOMB.=s|GENRE=x|CAS=n
vous	vous	PROper	PERS.=2|NOMB.=p|GENRE=x|CAS=i
en	en	PROadv	MORPH=empty
estaleray	étaler	VERcjg	MODE=ind|TEMPS=fut|PERS.=1|NOMB.=s
une	un	DETndf	NOMB.=s|GENRE=f
preuve	preuve	NOMcom	NOMB.=s|GENRE=f
plus	plus	ADVgen	MORPH=empty
claire	clair	ADJqua	NOMB.=s|GENRE=f
que	que	CONsub	MORPH=empty
le	le	DETdef	NOMB.=s|GENRE=m
jour	jour	NOMcom	NOMB.=s|GENRE=m
.	.	PONfrt	MORPH=empty
Experto	@latin	OUT	MORPH=empty
(	(	PONpga	MORPH=empty
dit	dire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
le	le	DETdef	NOMB.=s|GENRE=m
bon	bon	ADJqua	NOMB.=s|GENRE=m
homme	homme	NOMcom	NOMB.=s|GENRE=m
)	)	PONpdr	MORPH=empty
crede	@latin	OUT	MORPH=empty
Roberto	@latin	OUT	MORPH=empty
.	.	PONfrt	MORPH=empty
J’	je	PROper	PERS.=1|NOMB.=s|GENRE=x|CAS=n
ai	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
passé	passer	VERppe	NOMB.=s|GENRE=x
par	par	PRE	MORPH=empty
les	le	DETdef	NOMB.=p|GENRE=f
piques	pique	NOMcom	NOMB.=p|GENRE=f
,	,	PONfbl	MORPH=empty
pour	pour	PRE	MORPH=empty
n’	ne	ADVneg	MORPH=empty
avoir	avoir	VERinf	MORPH=empty
bien	bien	ADVgen	MORPH=empty
branslé	branler	VERppe	NOMB.=s|GENRE=x
la	le	DETdef	NOMB.=s|GENRE=f
pique	pique	NOMcom	NOMB.=s|GENRE=f
lors	lors	ADVgen	MORPH=empty
qu’	que	CONsub	MORPH=empty
il	il	PROimp	PERS.=0|NOMB.=s|GENRE=n|CAS=n
falloit	falloir	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s
,	,	PONfbl	MORPH=empty
et	et	CONcoo	MORPH=empty
n’	ne	ADVneg	MORPH=empty
avoir	avoir	VERinf	MORPH=empty
battu	battre	VERppe	NOMB.=s|GENRE=x
(	(	PONpga	MORPH=empty
comme	comme	CONsub	MORPH=empty
I’	le	DETdef	NOMB.=s|GENRE=m
on	on	PROper	PERS.=3|NOMB.=s|GENRE=x|CAS=n
dit	dire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
)	)	PONpdr	MORPH=empty
le	le	DETdef	NOMB.=s|GENRE=m
fer	fer	NOMcom	NOMB.=s|GENRE=m
lors	lors	ADVgen	MORPH=empty
qu'	que	CONsub	MORPH=empty
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
estoit	être	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s
chaud	chaud	ADJqua	NOMB.=s|GENRE=m
;	;	PONfbl	MORPH=empty
je	je	PROper	PERS.=1|NOMB.=s|GENRE=x|CAS=n
me	je	PROper	PERS.=1|NOMB.=s|GENRE=x|CAS=r
suis	être	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
trouvé	trouver	VERppe	NOMB.=s|GENRE=x
de	de	PRE	MORPH=empty
deux	deux	DETcar	NOMB.=p|GENRE=f
selles	selle	NOMcom	NOMB.=p|GENRE=f
le	le	DETdef	NOMB.=s|GENRE=m
cul	cul	NOMcom	NOMB.=s|GENRE=m
à	à	PRE	MORPH=empty
terre	terre	NOMcom	NOMB.=s|GENRE=f
.	.	PONfrt	MORPH=empty
Ma	mon	DETpos	PERS.=1|NOMB.=s|GENRE=f
Muse	muse	NOMpro	NOMB.=s|GENRE=f
avoit	avoir	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s
esclos	éclore	VERppe	NOMB.=s|GENRE=f
le	le	DETdef	NOMB.=s|GENRE=m
frere	frère	NOMcom	NOMB.=s|GENRE=m
de	de	PRE	MORPH=empty
ces	ce	DETdem	NOMB.=p
Apres	après	ADVgen	MORPH=empty
-	-	PONfbl	MORPH=empty
disnees	dînée	NOMcom	NOMB.=p|GENRE=f
,	,	PONfbl	MORPH=empty
son	son	DETpos	PERS.=3|NOMB.=s|GENRE=m
nom	nom	NOMcom	NOMB.=s|GENRE=m
ne	ne	ADVneg	MORPH=empty
peut	pouvoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
estre	être	VERinf	MORPH=empty
ramenteu	ramenter	VERppe	NOMB.=s|GENRE=m
,	,	PONfbl	MORPH=empty
son	son	DETpos	PERS.=3|NOMB.=s|GENRE=m
perrain	parrain	NOMcom	NOMB.=s|GENRE=m
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
esté	être	VERppe	NOMB.=s|GENRE=m
si	si	ADVgen	MORPH=empty
vilain	vilain	ADJqua	NOMB.=s|GENRE=m
que	que	CONsub	MORPH=empty
pour	pour	PRE	MORPH=empty
s’	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
exempter	exempter	VERinf	MORPH=empty
de	de	PRE	MORPH=empty
quelques	quelque	DETind	NOMB.=p|GENRE=f
honnestetez	honnêteté	NOMcom	NOMB.=p|GENRE=f
,	,	PONfbl	MORPH=empty
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
desavoué	désavouer	VERppe	NOMB.=s|GENRE=m
son	son	DETpos	PERS.=3|NOMB.=s|GENRE=m
filleu	filleul	NOMcom	NOMB.=s|GENRE=m
,	,	PONfbl	MORPH=empty
lequel	lequel	PROrel	NOMB.=s|GENRE=m
de	de	PRE	MORPH=empty
toutes	tout	DETind	NOMB.=p|GENRE=f
parts	part	NOMcom	NOMB.=p|GENRE=f
j’	je	PROper	PERS.=1|NOMB.=s|GENRE=x|CAS=n
estoie	être	VERcjg	MODE=ind|TEMPS=ipf|PERS.=1|NOMB.=s
prié	prier	VERppe	NOMB.=s|GENRE=x
de	de	PRE	MORPH=empty
loger	loger	VERinf	MORPH=empty
,	,	PONfbl	MORPH=empty
et	et	CONcoo	MORPH=empty
bien	bien	ADVgen	MORPH=empty
mieux	mieux	ADVgen	MORPH=empty
qu’	que	CONsub	MORPH=empty
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
n’	ne	ADVneg	MORPH=empty
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
rencontré	rencontrer	VERppe	NOMB.=s|GENRE=m
.	.	PONfrt	MORPH=empty
Plusieurs	plusieurs	PROind	NOMB.=p|GENRE=x
m’	je	PROper	PERS.=1|NOMB.=s|GENRE=x|CAS=i
offroient	offrir	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=p
leurs	leur	DETpos	PERS.=3|NOMB.=p|GENRE=m
logis	logis	NOMcom	NOMB.=p|GENRE=m
,	,	PONfbl	MORPH=empty
mais	mais	CONcoo	MORPH=empty
je	je	PROper	PERS.=1|NOMB.=s|GENRE=x|CAS=n
me	je	PROper	PERS.=1|NOMB.=s|GENRE=x|CAS=i
